"","par.index","estimate","se","fixed","note","group","cohort","age","time","occ","occ.cohort","stratum","tostratum","Cohort","Age","Time","stock","sex","A","B","X","toA","toB","toX"
"Psi sX toB gTransitoryF c1 a2 o3 t3",285,0.861470893643361,0.147637675708061,"     ","","TransitoryF","1","2","3",3,1,"X","B",0,2,2,"Transitory","F",0,0,1,0,1,0
"Psi sX toB gTransitoryF c2 a0 o2 t2",286,0.86147089364337,0.262481607508936,"     ","","TransitoryF","2","0","2",2,2,"X","B",1,0,1,"Transitory","F",0,0,1,0,1,0
"Psi sX toB gTransitoryF c2 a1 o3 t3",287,0.861470893643361,0.147637675708061,"     ","","TransitoryF","2","1","3",3,2,"X","B",1,1,2,"Transitory","F",0,0,1,0,1,0
"Psi sX toB gTransitoryF c3 a0 o3 t3",288,0.861470893643361,0.147637675708061,"     ","","TransitoryF","3","0","3",3,3,"X","B",2,0,2,"Transitory","F",0,0,1,0,1,0
"Psi sA toB gUnalakleetF c1 a0 o1 t1",289,0.791829029072694,0.0291367192503217,"     ","","UnalakleetF","1","0","1",1,1,"A","B",0,0,0,"Unalakleet","F",1,0,0,0,1,0
"Psi sA toB gUnalakleetF c1 a1 o2 t2",290,0.682109429631442,0.0693919387742975,"     ","","UnalakleetF","1","1","2",2,1,"A","B",0,1,1,"Unalakleet","F",1,0,0,0,1,0
"Psi sA toB gUnalakleetF c1 a2 o3 t3",291,0.460923809697945,0.250661601781667,"     ","","UnalakleetF","1","2","3",3,1,"A","B",0,2,2,"Unalakleet","F",1,0,0,0,1,0
"Psi sA toB gUnalakleetF c2 a0 o2 t2",292,0.682109429631442,0.0693919387742975,"     ","","UnalakleetF","2","0","2",2,2,"A","B",1,0,1,"Unalakleet","F",1,0,0,0,1,0
"Psi sA toB gUnalakleetF c2 a1 o3 t3",293,0.460923809697945,0.250661601781667,"     ","","UnalakleetF","2","1","3",3,2,"A","B",1,1,2,"Unalakleet","F",1,0,0,0,1,0
"Psi sA toB gUnalakleetF c3 a0 o3 t3",294,0.460923809697945,0.250661601781667,"     ","","UnalakleetF","3","0","3",3,3,"A","B",2,0,2,"Unalakleet","F",1,0,0,0,1,0
"Psi sA toX gUnalakleetF c1 a0 o1 t1",295,0.115164004994404,0.0222424873689368,"     ","","UnalakleetF","1","0","1",1,1,"A","X",0,0,0,"Unalakleet","F",1,0,0,0,0,1
"Psi sA toX gUnalakleetF c1 a1 o2 t2",296,0.0992063406126666,0.0213337604471251,"     ","","UnalakleetF","1","1","2",2,1,"A","X",0,1,1,"Unalakleet","F",1,0,0,0,0,1
"Psi sA toX gUnalakleetF c1 a2 o3 t3",297,0.067037006904023,0.037723931222304,"     ","","UnalakleetF","1","2","3",3,1,"A","X",0,2,2,"Unalakleet","F",1,0,0,0,0,1
"Psi sA toX gUnalakleetF c2 a0 o2 t2",298,0.0992063406126666,0.0213337604471251,"     ","","UnalakleetF","2","0","2",2,2,"A","X",1,0,1,"Unalakleet","F",1,0,0,0,0,1
"Psi sA toX gUnalakleetF c2 a1 o3 t3",299,0.067037006904023,0.037723931222304,"     ","","UnalakleetF","2","1","3",3,2,"A","X",1,1,2,"Unalakleet","F",1,0,0,0,0,1
"Psi sA toX gUnalakleetF c3 a0 o3 t3",300,0.067037006904023,0.037723931222304,"     ","","UnalakleetF","3","0","3",3,3,"A","X",2,0,2,"Unalakleet","F",1,0,0,0,0,1
"Psi sB toA gUnalakleetF c1 a0 o1 t1",301,0.0720061863754162,0.0161861553831102,"     ","","UnalakleetF","1","0","1",1,1,"B","A",0,0,0,"Unalakleet","F",0,1,0,1,0,0
"Psi sB toA gUnalakleetF c1 a1 o2 t2",302,0.0288931838806303,0.010133018512797,"     ","","UnalakleetF","1","1","2",2,1,"B","A",0,1,1,"Unalakleet","F",0,1,0,1,0,0
"Psi sB toA gUnalakleetF c1 a2 o3 t3",303,0.00940018858585556,0.00989181576534199,"     ","","UnalakleetF","1","2","3",3,1,"B","A",0,2,2,"Unalakleet","F",0,1,0,1,0,0
"Psi sB toA gUnalakleetF c2 a0 o2 t2",304,0.0288931838806303,0.010133018512797,"     ","","UnalakleetF","2","0","2",2,2,"B","A",1,0,1,"Unalakleet","F",0,1,0,1,0,0
"Psi sB toA gUnalakleetF c2 a1 o3 t3",305,0.00940018858585556,0.00989181576534199,"     ","","UnalakleetF","2","1","3",3,2,"B","A",1,1,2,"Unalakleet","F",0,1,0,1,0,0
"Psi sB toA gUnalakleetF c3 a0 o3 t3",306,0.00940018858585556,0.00989181576534199,"     ","","UnalakleetF","3","0","3",3,3,"B","A",2,0,2,"Unalakleet","F",0,1,0,1,0,0
"Psi sB toX gUnalakleetF c1 a0 o1 t1",307,0.0651260589866051,0.015841453249408,"     ","","UnalakleetF","1","0","1",1,1,"B","X",0,0,0,"Unalakleet","F",0,1,0,0,0,1
"Psi sB toX gUnalakleetF c1 a1 o2 t2",308,0.0261324666410264,0.0102026237754754,"     ","","UnalakleetF","1","1","2",2,1,"B","X",0,1,1,"Unalakleet","F",0,1,0,0,0,1
"Psi sB toX gUnalakleetF c1 a2 o3 t3",309,0.00850200971949741,0.00925794210566106,"     ","","UnalakleetF","1","2","3",3,1,"B","X",0,2,2,"Unalakleet","F",0,1,0,0,0,1
"Psi sB toX gUnalakleetF c2 a0 o2 t2",310,0.0261324666410264,0.0102026237754754,"     ","","UnalakleetF","2","0","2",2,2,"B","X",1,0,1,"Unalakleet","F",0,1,0,0,0,1
"Psi sB toX gUnalakleetF c2 a1 o3 t3",311,0.00850200971949741,0.00925794210566106,"     ","","UnalakleetF","2","1","3",3,2,"B","X",1,1,2,"Unalakleet","F",0,1,0,0,0,1
"Psi sB toX gUnalakleetF c3 a0 o3 t3",312,0.00850200971949741,0.00925794210566106,"     ","","UnalakleetF","3","0","3",3,3,"B","X",2,0,2,"Unalakleet","F",0,1,0,0,0,1
"Psi sX toA gUnalakleetF c1 a0 o1 t1",313,0.138529106356558,0.722476387597387,"     ","","UnalakleetF","1","0","1",1,1,"X","A",0,0,0,"Unalakleet","F",0,0,1,1,0,0
"Psi sX toA gUnalakleetF c1 a1 o2 t2",314,0.138529106356442,0.262413532204547,"     ","","UnalakleetF","1","1","2",2,1,"X","A",0,1,1,"Unalakleet","F",0,0,1,1,0,0
"Psi sX toA gUnalakleetF c1 a2 o3 t3",315,0.138529106356043,0.121522571774074,"     ","","UnalakleetF","1","2","3",3,1,"X","A",0,2,2,"Unalakleet","F",0,0,1,1,0,0
"Psi sX toA gUnalakleetF c2 a0 o2 t2",316,0.138529106356442,0.262413532204547,"     ","","UnalakleetF","2","0","2",2,2,"X","A",1,0,1,"Unalakleet","F",0,0,1,1,0,0
"Psi sX toA gUnalakleetF c2 a1 o3 t3",317,0.138529106356043,0.121522571774074,"     ","","UnalakleetF","2","1","3",3,2,"X","A",1,1,2,"Unalakleet","F",0,0,1,1,0,0
"Psi sX toA gUnalakleetF c3 a0 o3 t3",318,0.138529106356043,0.121522571774074,"     ","","UnalakleetF","3","0","3",3,3,"X","A",2,0,2,"Unalakleet","F",0,0,1,1,0,0
"Psi sX toB gUnalakleetF c1 a0 o1 t1",319,0.861470893642956,0.722727985230684,"     ","","UnalakleetF","1","0","1",1,1,"X","B",0,0,0,"Unalakleet","F",0,0,1,0,1,0
