tag.ID,power,array,rec,ymd.hms,unix
2695,13,5,6,8/25/2020 22:12,1598422371
2715,502,5,6,8/17/2020 15:05,1597705558
2715,1468,U,2,8/18/2020 13:04,1597784673
2735,335,5,6,8/17/2020 15:05,1597705535
2735,1542,U,2,8/18/2020 9:41,1597772505
2755,385,5,5,8/17/2020 15:20,1597706414
2775,1028,5,6,8/17/2020 15:24,1597706698
2775,1000,U,1,8/27/2020 21:31,1598592691
2795,1515,5,4,8/17/2020 15:54,1597708449
2795,1495,U,2,8/18/2020 8:24,1597767887
2815,246,5,6,8/17/2020 15:35,1597707328
2815,1520,U,2,8/18/2020 6:44,1597761852
2835,553,5,6,8/18/2020 11:19,1597778383
2835,1308,6,1,8/19/2020 16:36,1597883818
2835,130,7,1,8/20/2020 0:51,1597913500
2855,1491,5,6,8/18/2020 14:00,1597788046
2855,1552,U,2,8/19/2020 15:24,1597879489
2875,346,5,6,8/18/2020 11:28,1597778895
2895,1039,5,6,8/18/2020 11:28,1597778907
2895,792,6,2,8/19/2020 14:54,1597877652
2895,394,7,1,8/19/2020 21:37,1597901858
2915,1495,5,2,8/18/2020 11:54,1597780441
2915,1552,5,5,8/20/2020 7:19,1597936778
2915,1534,4,2,8/20/2020 12:27,1597955258
2915,190,3,6,8/21/2020 1:17,1598001476
2915,836,4,2,8/23/2020 12:41,1598215273
2915,631,5,5,8/23/2020 20:28,1598243326
2915,1555,U,2,8/24/2020 12:58,1598302731
2935,1572,5,3,8/18/2020 11:44,1597779876
2935,1557,U,2,8/18/2020 22:54,1597820045
2955,1569,5,5,8/18/2020 11:45,1597779949
2955,94,5,5,8/18/2020 22:47,1597819633
2955,1180,U,1,8/19/2020 14:55,1597877759
2975,1542,5,3,8/18/2020 13:11,1597785096
2975,98,5,5,8/22/2020 14:52,1598136753
2975,1562,U,2,8/22/2020 20:46,1598157978
2995,1177,5,6,8/18/2020 11:37,1597779450
2995,1478,E,1,8/21/2020 20:47,1598071663
3015,624,5,6,8/18/2020 12:18,1597781925
3035,1571,5,5,8/18/2020 12:19,1597781999
3055,1334,5,5,8/18/2020 12:12,1597781564
3075,1556,5,4,8/18/2020 12:31,1597782660
3075,1545,U,2,8/19/2020 21:00,1597899601
3095,932,5,6,8/18/2020 12:04,1597781064
3115,1522,5,6,8/18/2020 12:06,1597781186
3115,729,5,6,8/19/2020 6:48,1597848527
3115,1548,E,1,8/22/2020 21:44,1598161444
3135,1561,5,5,8/18/2020 12:29,1597782596
3135,45,5,1,9/1/2020 22:07,1599026859
3135,79,5,2,9/2/2020 18:41,1599100862
3155,1537,5,3,8/18/2020 13:43,1597786991
3155,85,5,5,8/20/2020 3:26,1597922788
3175,535,5,6,8/18/2020 12:20,1597782058
3175,1548,U,2,8/19/2020 18:21,1597890070
3195,1559,5,3,8/18/2020 12:56,1597784176
3195,85,5,5,8/19/2020 0:43,1597826584
3195,128,5,5,8/19/2020 18:03,1597889004
3195,86,5,5,8/21/2020 2:56,1598007418
3195,89,5,5,8/22/2020 3:23,1598095437
3215,1578,5,2,8/24/2020 20:04,1598328285
3215,1574,5,5,8/25/2020 11:19,1598383163
3215,1551,U,1,8/25/2020 21:12,1598418742
3235,988,5,5,8/24/2020 11:17,1598296667
3255,1549,5,5,8/24/2020 11:45,1598298319
3275,1583,5,5,8/24/2020 11:38,1598297906
3295,1569,5,5,8/24/2020 11:55,1598298901
3315,814,5,6,8/24/2020 11:30,1598297414
3315,76,5,2,9/2/2020 21:53,1599112403
3315,78,5,2,9/3/2020 20:44,1599194648
3335,78,5,5,8/24/2020 12:28,1598300926
3335,1553,U,2,8/24/2020 22:51,1598338274
3355,1047,5,4,8/24/2020 21:43,1598334218
3355,664,5,5,8/28/2020 16:03,1598659438
3375,617,5,6,8/24/2020 13:24,1598304252
3375,946,5,5,8/25/2020 9:36,1598377012
3375,189,6,2,8/25/2020 21:47,1598420871
3375,328,5,5,8/26/2020 5:33,1598448812
3375,534,4,1,8/27/2020 9:30,1598549424
3375,147,6,2,8/28/2020 8:05,1598630724
3375,124,7,6,8/28/2020 12:37,1598647070
3395,86,5,5,8/24/2020 13:38,1598305138
3395,1535,U,2,8/24/2020 22:15,1598336115
3415,882,5,6,8/24/2020 14:45,1598309109
3415,45,5,1,8/30/2020 15:51,1598831486
3415,46,5,1,8/31/2020 1:25,1598865905
3415,33,5,1,9/1/2020 5:12,1598965956
3415,50,5,1,9/1/2020 23:21,1599031273
3415,90,5,2,9/3/2020 17:20,1599182423
3435,1166,5,6,8/24/2020 14:43,1598309012
3435,1412,5,3,8/25/2020 18:58,1598410690
3455,1409,5,6,8/25/2020 21:06,1598418393
3475,359,5,6,8/24/2020 14:44,1598309052
3475,1545,U,2,8/25/2020 19:30,1598412607
3495,705,5,6,8/24/2020 14:48,1598309302
3495,1514,U,2,8/25/2020 12:05,1598385914
3515,844,5,1,8/24/2020 16:29,1598315379
3515,89,5,5,8/25/2020 10:39,1598380781
3515,1548,U,2,8/25/2020 18:56,1598410582
3535,402,5,6,8/25/2020 14:02,1598392937
3535,1557,U,2,8/26/2020 10:30,1598466644
3555,1045,5,6,8/25/2020 15:29,1598398186
3555,1289,5,6,8/26/2020 23:05,1598511959
3575,1532,5,6,8/26/2020 8:53,1598460837
3575,948,4,1,8/27/2020 2:22,1598523755
3595,1302,5,6,8/25/2020 14:13,1598393582
3595,1548,U,2,8/25/2020 22:59,1598425190
3615,365,5,6,8/25/2020 14:25,1598394304
3615,1548,U,2,8/26/2020 22:05,1598508339
3635,1550,5,3,8/25/2020 18:55,1598410545
3635,1552,U,2,8/26/2020 17:19,1598491189
3655,90,5,6,8/25/2020 15:03,1598396635
3655,801,5,2,8/26/2020 11:18,1598469518
3655,1514,U,2,8/26/2020 21:05,1598504749
3675,1518,5,6,8/25/2020 14:52,1598395964
3675,96,5,1,9/3/2020 13:04,1599167067
3695,1540,5,2,8/25/2020 17:32,1598405577
3695,636,5,6,8/26/2020 7:03,1598454189
3695,1561,U,2,8/26/2020 16:19,1598487597
3715,1161,5,6,8/25/2020 15:43,1598399028
3715,1534,E,1,9/3/2020 22:51,1599202271
3735,1445,5,6,8/25/2020 15:46,1598399213
3755,1376,5,6,8/25/2020 16:01,1598400087
3755,101,5,5,8/27/2020 7:52,1598543556
3775,1477,5,6,8/25/2020 16:02,1598400131
3775,55,4,2,8/26/2020 9:19,1598462365
