,par.index,estimate,se
Psi sX toB gTransitoryF c3 a0 o3 t3,288,0.861470894,0.147637676
Psi sA toB gUnalakleetF c1 a0 o1 t1,289,0.791829029,0.029136719
Psi sA toB gUnalakleetF c1 a1 o2 t2,290,0.68210943,0.069391939
Psi sA toB gUnalakleetF c1 a2 o3 t3,291,0.46092381,0.250661602
Psi sA toB gUnalakleetF c2 a0 o2 t2,292,0.68210943,0.069391939
Psi sA toB gUnalakleetF c2 a1 o3 t3,293,0.46092381,0.250661602
Psi sA toB gUnalakleetF c3 a0 o3 t3,294,0.46092381,0.250661602
Psi sA toX gUnalakleetF c1 a0 o1 t1,295,0.115164005,0.022242487
Psi sA toX gUnalakleetF c1 a1 o2 t2,296,0.099206341,0.02133376
Psi sA toX gUnalakleetF c1 a2 o3 t3,297,0.067037007,0.037723931
Psi sA toX gUnalakleetF c2 a0 o2 t2,298,0.099206341,0.02133376
Psi sA toX gUnalakleetF c2 a1 o3 t3,299,0.067037007,0.037723931
Psi sA toX gUnalakleetF c3 a0 o3 t3,300,0.067037007,0.037723931
Psi sB toA gUnalakleetF c1 a0 o1 t1,301,0.072006186,0.016186155
Psi sB toA gUnalakleetF c1 a1 o2 t2,302,0.028893184,0.010133019
Psi sB toA gUnalakleetF c1 a2 o3 t3,303,0.009400189,0.009891816
Psi sB toA gUnalakleetF c2 a0 o2 t2,304,0.028893184,0.010133019
Psi sB toA gUnalakleetF c2 a1 o3 t3,305,0.009400189,0.009891816
Psi sB toA gUnalakleetF c3 a0 o3 t3,306,0.009400189,0.009891816
Psi sB toX gUnalakleetF c1 a0 o1 t1,307,0.065126059,0.015841453
Psi sB toX gUnalakleetF c1 a1 o2 t2,308,0.026132467,0.010202624
Psi sB toX gUnalakleetF c1 a2 o3 t3,309,0.00850201,0.009257942
Psi sB toX gUnalakleetF c2 a0 o2 t2,310,0.026132467,0.010202624
Psi sB toX gUnalakleetF c2 a1 o3 t3,311,0.00850201,0.009257942
Psi sB toX gUnalakleetF c3 a0 o3 t3,312,0.00850201,0.009257942
Psi sX toA gUnalakleetF c1 a0 o1 t1,313,0.138529106,0.722476388
Psi sX toA gUnalakleetF c1 a1 o2 t2,314,0.138529106,0.262413532
Psi sX toA gUnalakleetF c1 a2 o3 t3,315,0.138529106,0.121522572
Psi sX toA gUnalakleetF c2 a0 o2 t2,316,0.138529106,0.262413532
Psi sX toA gUnalakleetF c2 a1 o3 t3,317,0.138529106,0.121522572
Psi sX toA gUnalakleetF c3 a0 o3 t3,318,0.138529106,0.121522572
Psi sX toB gUnalakleetF c1 a0 o1 t1,319,0.861470894,0.722727985
Psi sX toB gUnalakleetF c1 a1 o2 t2,320,0.861470894,0.262030674
Psi sX toB gUnalakleetF c1 a2 o3 t3,321,0.861470894,0.123341563
Psi sX toB gUnalakleetF c2 a0 o2 t2,322,0.861470894,0.262030674
Psi sX toB gUnalakleetF c2 a1 o3 t3,323,0.861470894,0.123341563
Psi sX toB gUnalakleetF c3 a0 o3 t3,324,0.861470894,0.123341563
Psi sA toB gShaktoolikM c1 a0 o1 t1,325,0.245236454,0.033899865
Psi sA toB gShaktoolikM c1 a1 o2 t2,326,0.109294025,0.029443881
Psi sA toB gShaktoolikM c1 a2 o3 t3,327,0.037408833,0.035691138
Psi sA toB gShaktoolikM c2 a0 o2 t2,328,0.109294025,0.029443881
Psi sA toB gShaktoolikM c2 a1 o3 t3,329,0.037408833,0.035691138
Psi sA toB gShaktoolikM c3 a0 o3 t3,330,0.037408833,0.035691138
Psi sA toX gShaktoolikM c1 a0 o1 t1,331,0.035667298,0.00647649
Psi sA toX gShaktoolikM c1 a1 o2 t2,332,0.01589577,0.004285251
Psi sA toX gShaktoolikM c1 a2 o3 t3,333,0.005440757,0.004910119
Psi sA toX gShaktoolikM c2 a0 o2 t2,334,0.01589577,0.004285251
Psi sA toX gShaktoolikM c2 a1 o3 t3,335,0.005440757,0.004910119
Psi sA toX gShaktoolikM c3 a0 o3 t3,336,0.005440757,0.004910119
Psi sB toA gShaktoolikM c1 a0 o1 t1,337,0.003317802,0.000981564
Psi sB toA gShaktoolikM c1 a1 o2 t2,338,0.001220102,0.000438118
Psi sB toA gShaktoolikM c1 a2 o3 t3,339,0.000382257,0.000348927
Psi sB toA gShaktoolikM c2 a0 o2 t2,340,0.001220102,0.000438118
Psi sB toA gShaktoolikM c2 a1 o3 t3,341,0.000382257,0.000348927
Psi sB toA gShaktoolikM c3 a0 o3 t3,342,0.000382257,0.000348927
Psi sB toX gShaktoolikM c1 a0 o1 t1,343,0.003000787,0.001021275
Psi sB toX gShaktoolikM c1 a1 o2 t2,344,0.001103522,0.000488481
Psi sB toX gShaktoolikM c1 a2 o3 t3,345,0.000345733,0.000352372
Psi sB toX gShaktoolikM c2 a0 o2 t2,346,0.001103522,0.000488481
Psi sB toX gShaktoolikM c2 a1 o3 t3,347,0.000345733,0.000352372
Psi sB toX gShaktoolikM c3 a0 o3 t3,348,0.000345733,0.000352372
Psi sX toA gShaktoolikM c1 a0 o1 t1,349,0.138529106,0.030063986
Psi sX toA gShaktoolikM c1 a1 o2 t2,350,0.138529106,0.231165082
Psi sX toA gShaktoolikM c1 a2 o3 t3,351,0.138529106,0.190773097
Psi sX toA gShaktoolikM c2 a0 o2 t2,352,0.138529106,0.231165082
Psi sX toA gShaktoolikM c2 a1 o3 t3,353,0.138529106,0.190773097
Psi sX toA gShaktoolikM c3 a0 o3 t3,354,0.138529106,0.190773097
Psi sX toB gShaktoolikM c1 a0 o1 t1,355,0.861470894,0.028655671
Psi sX toB gShaktoolikM c1 a1 o2 t2,356,0.861470894,0.233191364
Psi sX toB gShaktoolikM c1 a2 o3 t3,357,0.861470894,0.190348314
Psi sX toB gShaktoolikM c2 a0 o2 t2,358,0.861470894,0.233191364
Psi sX toB gShaktoolikM c2 a1 o3 t3,359,0.861470894,0.190348314
Psi sX toB gShaktoolikM c3 a0 o3 t3,360,0.861470894,0.190348314
Psi sA toB gTransitoryM c1 a0 o1 t1,361,0.872691389,0.023267902
Psi sA toB gTransitoryM c1 a1 o2 t2,362,0.872112163,0.023018536
Psi sA toB gTransitoryM c1 a2 o3 t3,363,0.87011116,0.02256025
Psi sA toB gTransitoryM c2 a0 o2 t2,364,0.872112163,0.023018536
Psi sA toB gTransitoryM c2 a1 o3 t3,365,0.87011116,0.02256025
Psi sA toB gTransitoryM c3 a0 o3 t3,366,0.87011116,0.02256025
Psi sA toX gTransitoryM c1 a0 o1 t1,367,0.126924659,0.023448794
Psi sA toX gTransitoryM c1 a1 o2 t2,368,0.126840416,0.023467529
Psi sA toX gTransitoryM c1 a2 o3 t3,369,0.12654939,0.023503243
Psi sA toX gTransitoryM c2 a0 o2 t2,370,0.126840416,0.023467529
Psi sA toX gTransitoryM c2 a1 o3 t3,371,0.12654939,0.023503243
Psi sA toX gTransitoryM c3 a0 o3 t3,372,0.12654939,0.023503243
Psi sB toA gTransitoryM c1 a0 o1 t1,373,0.512977303,0.054364518
Psi sB toA gTransitoryM c1 a1 o2 t2,374,0.493300406,0.060563767
Psi sB toA gTransitoryM c1 a2 o3 t3,375,0.43542953,0.098078899
Psi sB toA gTransitoryM c2 a0 o2 t2,376,0.493300406,0.060563767
Psi sB toA gTransitoryM c2 a1 o3 t3,377,0.43542953,0.098078899
Psi sB toA gTransitoryM c3 a0 o3 t3,378,0.43542953,0.098078899
Psi sB toX gTransitoryM c1 a0 o1 t1,379,0.463962671,0.043265585
Psi sB toX gTransitoryM c1 a1 o2 t2,380,0.446165886,0.035863418
Psi sB toX gTransitoryM c1 a2 o3 t3,381,0.393824531,0.069138043
Psi sB toX gTransitoryM c2 a0 o2 t2,382,0.446165886,0.035863418
Psi sB toX gTransitoryM c2 a1 o3 t3,383,0.393824531,0.069138043
Psi sB toX gTransitoryM c3 a0 o3 t3,384,0.393824531,0.069138043
Psi sX toA gTransitoryM c1 a0 o1 t1,385,0.138529106,0.376472619
Psi sX toA gTransitoryM c1 a1 o2 t2,386,0.138529106,0.408432092
