tag.ID,date.time,lat,long,stock
4175,8/15/2020 10:32,63.953644,-160.863799,S
4175,8/16/2020 23:19,63.693551,-160.8998,S
4175,8/17/2020 14:43,63.548826,-161.134898,S
4190,8/3/2021 22:01,64.131144,-160.970255,5
4190,8/5/2021 14:32,64.320926,-161.107788,5
4215,8/11/2020 10:39,64.368624,-161.112718,5
4215,8/17/2020 14:23,64.368624,-161.112718,5
4215,9/4/2020 4:19,64.366297,-161.093039,5
4215,9/5/2020 11:25,64.131239,-160.964123,5
4235,8/8/2020 9:00,64.376093,-161.533817,S
4235,8/9/2020 8:10,64.535826,-161.37641,S
4235,8/9/2020 17:18,64.364748,-161.551676,S
4235,8/10/2020 11:56,64.131287,-160.957982,S
4235,8/10/2020 18:38,63.953644,-160.863799,S
4235,8/11/2020 8:06,63.691418,-160.88228,S
4235,8/11/2020 16:23,63.547179,-161.123543,S
4250,8/4/2021 3:46,64.131144,-160.970255,6
4250,8/4/2021 14:56,63.953841,-160.857668,6
4250,8/5/2021 9:52,63.557764,-161.056892,6
4255,8/7/2020 17:31,63.691418,-160.88228,6
4255,8/8/2020 8:16,63.548007,-161.129208,6
4255,8/12/2020 18:09,63.557764,-161.056892,6
4270,8/5/2021 22:48,63.953475,-160.869926,6
4270,8/6/2021 15:33,63.557764,-161.056892,6
4275,8/7/2020 10:33,63.953142,-160.882113,6
4275,8/7/2020 23:28,63.555623,-161.051248,6
4295,8/8/2020 3:19,64.130941,-160.982481,6
4295,8/8/2020 14:18,63.95299,-160.888171,6
4295,8/8/2020 20:38,63.557764,-161.056892,6
4315,8/7/2020 19:55,64.131287,-160.957982,6
4315,8/8/2020 12:44,63.557764,-161.056892,6
4330,8/4/2021 6:57,64.131144,-160.970255,5
4330,8/18/2021 11:44,64.131144,-160.970255,5
4330,8/19/2021 16:45,64.366297,-161.093039,5
4335,8/7/2020 19:27,64.364748,-161.551676,6
4335,8/9/2020 7:06,64.131144,-160.970255,6
4335,8/9/2020 17:37,63.953644,-160.863799,6
4335,8/10/2020 6:09,63.555623,-161.051248,6
4350,8/4/2021 7:09,64.130854,-160.98861,N
4350,8/5/2021 14:04,64.368624,-161.112718,N
4350,8/16/2021 19:03,64.366297,-161.093039,N
4350,8/17/2021 21:02,64.373826,-161.537393,N
4350,8/18/2021 6:33,64.373826,-161.537393,N
4355,8/8/2020 8:48,64.376093,-161.533817,S
4355,8/9/2020 18:42,64.131052,-160.976405,S
4355,8/10/2020 14:13,63.691418,-160.88228,S
4355,8/10/2020 21:59,63.547179,-161.123543,S
4375,8/9/2020 18:39,64.131052,-160.976405,6
4375,8/10/2020 7:37,63.95299,-160.888171,6
4375,8/10/2020 23:35,63.555623,-161.051248,6
4415,8/10/2020 2:01,64.131287,-160.957982,6
4415,8/16/2020 6:34,64.042944,-160.888673,6
4435,8/9/2020 7:50,64.130854,-160.98861,6
4435,8/12/2020 11:03,63.95299,-160.888171,6
4435,8/12/2020 20:01,63.555623,-161.051248,6
4470,8/10/2021 18:09,64.131239,-160.964123,6
4470,8/11/2021 4:21,63.953841,-160.857668,6
4470,8/11/2021 20:54,63.557764,-161.056892,6
4475,8/9/2020 16:27,64.131144,-160.970255,6
4475,8/9/2020 21:50,63.95299,-160.888171,6
4475,8/10/2020 11:11,63.555623,-161.051248,6
4495,8/7/2020 23:13,64.131144,-160.970255,6
4495,8/11/2020 0:44,64.042944,-160.888673,6
4510,8/10/2021 16:25,64.368624,-161.112718,5
4515,8/10/2020 17:05,64.131287,-160.957982,6
4515,8/10/2020 23:35,63.95299,-160.888171,6
4515,8/11/2020 14:49,63.557764,-161.056892,6
4530,8/10/2021 13:34,64.318634,-161.122722,5
4535,8/12/2020 11:07,64.131287,-160.957982,6
4535,8/12/2020 21:14,63.95299,-160.888171,6
4535,8/13/2020 9:16,63.95299,-160.888171,6
4535,8/15/2020 8:29,63.557764,-161.056892,6
4550,8/10/2021 19:14,64.131239,-160.964123,6
4550,8/11/2021 6:32,63.953644,-160.863799,6
4550,8/12/2021 22:47,63.557764,-161.056892,6
4555,8/14/2020 6:54,64.368624,-161.112718,6
4555,8/25/2020 1:29,64.368624,-161.112718,6
4555,8/25/2020 17:35,64.131287,-160.957982,6
4555,8/26/2020 12:31,63.95299,-160.888171,6
4555,8/26/2020 20:17,63.555623,-161.051248,6
4575,8/12/2020 12:43,64.131239,-160.964123,6
4575,8/12/2020 18:33,63.95299,-160.888171,6
4575,8/13/2020 8:35,63.953142,-160.882113,6
4575,8/13/2020 22:46,63.555623,-161.051248,6
4590,8/16/2021 10:36,64.368624,-161.112718,5
4595,8/13/2020 5:23,64.131239,-160.964123,6
4595,8/14/2020 14:26,63.557764,-161.056892,6
4610,8/15/2021 15:24,64.368624,-161.112718,5
4615,8/10/2020 12:23,64.131287,-160.957982,6
4615,8/12/2020 8:43,63.953142,-160.882113,6
4615,8/13/2020 6:51,63.555623,-161.051248,6
4630,8/12/2021 15:54,64.719596,-161.517487,N
4635,8/10/2020 12:39,64.131287,-160.957982,5
4635,8/11/2020 8:11,64.130854,-160.98861,5
4635,8/12/2020 15:37,64.366297,-161.093039,5
4650,8/15/2021 19:13,64.368624,-161.112718,5
4655,8/10/2020 14:06,64.131287,-160.957982,6
