"","par.index","estimate","se","fixed","note","group","cohort","age","time","occ","occ.cohort","stratum","Cohort","Age","Time","stock","sex","A","B","X"
"S sA gTransitoryM c1 a2 o3 t3",75,0.849242288774748,0.088390254651526,"     ","","TransitoryM","1","2","3",3,1,"A",0,2,2,"Transitory","M",1,0,0
"S sA gTransitoryM c2 a0 o2 t2",76,0.946334191317296,0.0336482755995219,"     ","","TransitoryM","2","0","2",2,2,"A",1,0,1,"Transitory","M",1,0,0
"S sA gTransitoryM c2 a1 o3 t3",77,0.849242288774748,0.088390254651526,"     ","","TransitoryM","2","1","3",3,2,"A",1,1,2,"Transitory","M",1,0,0
"S sA gTransitoryM c3 a0 o3 t3",78,0.849242288774748,0.088390254651526,"     ","","TransitoryM","3","0","3",3,3,"A",2,0,2,"Transitory","M",1,0,0
"S sB gTransitoryM c1 a0 o1 t1",79,0.999999999997424,4.88035060127712e-13,"     ","","TransitoryM","1","0","1",1,1,"B",0,0,0,"Transitory","M",0,1,0
"S sB gTransitoryM c1 a1 o2 t2",80,0.839951698096295,0.0692522303382205,"     ","","TransitoryM","1","1","2",2,1,"B",0,1,1,"Transitory","M",0,1,0
"S sB gTransitoryM c1 a2 o3 t3",81,0.626380376453666,0.125799483080386,"     ","","TransitoryM","1","2","3",3,1,"B",0,2,2,"Transitory","M",0,1,0
"S sB gTransitoryM c2 a0 o2 t2",82,0.839951698096295,0.0692522303382205,"     ","","TransitoryM","2","0","2",2,2,"B",1,0,1,"Transitory","M",0,1,0
"S sB gTransitoryM c2 a1 o3 t3",83,0.626380376453666,0.125799483080386,"     ","","TransitoryM","2","1","3",3,2,"B",1,1,2,"Transitory","M",0,1,0
"S sB gTransitoryM c3 a0 o3 t3",84,0.626380376453666,0.125799483080386,"     ","","TransitoryM","3","0","3",3,3,"B",2,0,2,"Transitory","M",0,1,0
"S sX gTransitoryM c1 a0 o1 t1",85,0.999999999965424,6.54945858124635e-12,"     ","","TransitoryM","1","0","1",1,1,"X",0,0,0,"Transitory","M",0,0,1
"S sX gTransitoryM c1 a1 o2 t2",86,0.281093930287654,0.0886281829181823,"     ","","TransitoryM","1","1","2",2,1,"X",0,1,1,"Transitory","M",0,0,1
"S sX gTransitoryM c1 a2 o3 t3",87,0.111037115138693,0.0449508089088986,"     ","","TransitoryM","1","2","3",3,1,"X",0,2,2,"Transitory","M",0,0,1
"S sX gTransitoryM c2 a0 o2 t2",88,0.281093930287654,0.0886281829181823,"     ","","TransitoryM","2","0","2",2,2,"X",1,0,1,"Transitory","M",0,0,1
"S sX gTransitoryM c2 a1 o3 t3",89,0.111037115138693,0.0449508089088986,"     ","","TransitoryM","2","1","3",3,2,"X",1,1,2,"Transitory","M",0,0,1
"S sX gTransitoryM c3 a0 o3 t3",90,0.111037115138693,0.0449508089088986,"     ","","TransitoryM","3","0","3",3,3,"X",2,0,2,"Transitory","M",0,0,1
"S sA gUnalakleetM c1 a0 o1 t1",91,0.999999999994383,1.06432964479496e-12,"     ","","UnalakleetM","1","0","1",1,1,"A",0,0,0,"Unalakleet","M",1,0,0
"S sA gUnalakleetM c1 a1 o2 t2",92,0.706469495004865,0.109583805761622,"     ","","UnalakleetM","1","1","2",2,1,"A",0,1,1,"Unalakleet","M",1,0,0
"S sA gUnalakleetM c1 a2 o3 t3",93,0.434663075040745,0.140875200281993,"     ","","UnalakleetM","1","2","3",3,1,"A",0,2,2,"Unalakleet","M",1,0,0
"S sA gUnalakleetM c2 a0 o2 t2",94,0.706469495004865,0.109583805761622,"     ","","UnalakleetM","2","0","2",2,2,"A",1,0,1,"Unalakleet","M",1,0,0
