tag.ID,capture,det,recap,ch,,stock,ch,year
7195,A,S,NA,AV,AV,Shaktoolik,AA,2020
7295,A,S,NA,AV,AV,Shaktoolik,AA,2020
7355,A,S,NA,AV,AV,Shaktoolik,AA,2020
7615,A,323S,NA,AXAV,AXAV,Shaktoolik,AXAA,2020
7815,A,S,NA,AV,AV,Shaktoolik,AA,2020
7935,A,S,NA,AV,AV,Shaktoolik,AA,2020
7975,A,S,NA,AV,AV,Shaktoolik,AA,2020
930,B,U42,NA,BAX,BWBAX,Transitory,BAX,2021
1010,B,7577567,NA,BXBX,BXBXBX,Transitory,BXBX,2021
1375,B,432233KY,NA,BAX,BAXAX,Transitory,BAXX,2020
1430,B,5543,NA,BAX,BAX ,Transitory,BAX,2021
1435,B,567,X,BX,BX ,Transitory,BX,2020
1655,B,43,B,BAX,,NA,BAX,2020
1835,B,567,NA,BX,BX,Transitory,BX,2020
2055,B,567,NA,BX,BX,Transitory,BX,2020
2195,B,5411,NA,BAX,BAX,Transitory,BAX,2020
2455,B,567,NA,BX,BX,Transitory,BX,2020
2535,B,567,NA,BX,BX,Transitory,BX,2020
2835,B,567,NA,BX,BX,Transitory,BX,2020
2895,B,567,NA,BX,BX,Transitory,BX,2020
3375,B,5565467,NA,BABX,BABX,Transitory,BABX,2020
3995,B,567,NA,BX,BX,Transitory,BX,2020
4175,A,4567,NA,ABX,ABX,Transitory,ABX,2020
4235,A,3234567,NA,ABX,AXABX,Transitory,ABX,2020
4350,A,4SS33,NA,AWAX,AWAX,Transitory,AAAX,2021
4355,A,3467,NA,ABX,AXABX,Transitory,ABX,2020
4630,A,1,NA,AX,AX,Transitory,AX,2021
4690,A,332,NA,AXAX,AXAX,Transitory,AXAX,2021
5055,A,32I,NA,AX,AX,Transitory,AXX,2020
5095,A,4567,NA,ABX,ABX,Transitory,ABX,2020
5150,A,1,NA,AX,AX,Transitory,AX,2021
5355,A,43,NA,ABAX,ABAX,Transitory,ABAX,2020
5415,A,4567,NA,ABX,ABX,Transitory,ABX,2020
5475,A,4567,NA,ABX,ABX,Transitory,ABX,2020
5495,A,44567,NA,ABX,ABABX,Transitory,ABX,2020
5675,A,567,NA,ABX,ABX,Transitory,ABX,2020
5715,A,456G7,NA,ABX,ABWBX,Transitory,ABX,2020
5835,A,32N,NA,AX,AX,Transitory,AXX,2020
5875,A,4567,NA,ABX,ABX,Transitory,ABX,2020
5995,A,4567,NA,ABX,ABX,Transitory,ABX,2020
6335,A,455667,NA,ABX,ABX,Transitory,ABX,2020
6375,A,32N,NA,AX,AX,Transitory,AXX,2020
6415,A,3234567,NA,ABX,AXABX,Transitory,ABX,2020
6635,A,67,NA,ABX,ABX,Transitory,ABX,2020
7055,A,4567,NA,ABX,ABX,Transitory,ABX,2020
7675,A,3,NA,AX,AX,Transitory,AX,2020
7695,A,4567,NA,ABX,ABX,Transitory,ABX,2020
7895,A,47,NA,ABX,ABX,Transitory,ABX,2020
75,B,55U,NA,BW,BW,Unalakleet,BB,2020
110,B,5U,NA,BW,BW,Unalakleet,BB,2021
195,B,5U,NA,BW,BW,Unalakleet,BB,2020
210,B,5U,U,BW,BW,Unalakleet,BB,2021
215,B,5U,NA,BW,BW,Unalakleet,BB,2020
270,B,4U,U,BABW,BABW,Unalakleet,BABB,2021
275,B,5U,NA,BW,BW,Unalakleet,BB,2020
310,B,4U,U,BABW,BABW,Unalakleet,BABB,2021
375,B,5U,NA,BW,BW,Unalakleet,BB,2020
390,B,5U,U,BW,BW,Unalakleet,BB,2021
395,B,5U,NA,BW,BW,Unalakleet,BB,2020
415,B,5U,NA,BW,BW,Unalakleet,BB,2020
430,B,5U,NA,BW,BW,Unalakleet,BB,2021
450,B,5U,NA,BW,BW,Unalakleet,BB,2021
470,B,55U,NA,BW,BW,Unalakleet,BB,2021
475,B,45U,NA,BABW,BABW,Unalakleet,BABB,2020
490,B,5U,NA,BW,BW,Unalakleet,BB,2021
510,B,55U,NA,BW,BW,Unalakleet,BB,2021
515,B,445U,NA,BABW,BABW,Unalakleet,BABB,2020
535,B,E,NA,BW,BW,Unalakleet,BB,2020
555,B,5U,NA,BW,BW,Unalakleet,BB,2020
570,B,5U,NA,BW,BW,Unalakleet,BB,2021
575,B,5U,NA,BW,BW,Unalakleet,BB,2020
590,B,5U,NA,BW,BW,Unalakleet,BB,2021
610,B,5U,NA,BW,BW,Unalakleet,BB,2021
615,B,445U,NA,BABW,BABW,Unalakleet,BABB,2020
630,B,55U,NA,BW,BW,Unalakleet,BB,2021
650,B,5U,NA,BW,BW,Unalakleet,BB,2021
670,B,5U,NA,BW,BW,Unalakleet,BB,2021
675,B,5U,NA,BW,BW,Unalakleet,BB,2020
690,B,U,U,BW,BW,Unalakleet,BB,2021
710,B,U,NA,BW,BW,Unalakleet,BB,2021
715,B,5U,U,BW,BW,Unalakleet,BB,2020
735,B,5U,U,BW,BW,Unalakleet,BB,2020
770,B,555U,U,BW,BW,Unalakleet,BB,2021
815,B,55U,NA,BW,BW,Unalakleet,BB,2020
835,B,5U,NA,BW,BW,Unalakleet,BB,2020
870,B,U,NA,BW,BW,Unalakleet,BB,2021
890,B,6U,NA,BW,BW,Unalakleet,BB,2021
935,B,5U,U,BW,BW,Unalakleet,BB,2020
955,B,E,NA,BW,BW,Unalakleet,BB,2020
970,B,NA,U,BW,BW,Unalakleet,BB,2021
995,B,5U,NA,BW,BW,Unalakleet,BB,2020
1015,B,5U,NA,BW,BW,Unalakleet,BB,2020
1030,B,NA,U,BW,BW,Unalakleet,BB,2021
1035,B,EE5U,NA,BWBW,BWBW,Unalakleet,BBBB,2020
1055,B,44U,NA,BABW,BABW,Unalakleet,BABB,2020
1070,B,U,NA,BW,BW,Unalakleet,BB,2021
1075,B,5,U,BW,BW,Unalakleet,BB,2020
1090,B,U,NA,BW,BW,Unalakleet,BB,2021
1095,B,5U,NA,BW,BW,Unalakleet,BB,2020
1110,B,U,U,BW,BW,Unalakleet,BB,2021
1130,B,677,U,BXBW,BXBW,Unalakleet,BXBB,2021
1135,B,5U,NA,BW,BW,Unalakleet,BB,2020
1155,B,45U,NA,BABW,BABW,Unalakleet,BABB,2020
1195,B,45U,NA,BABW,BABW,Unalakleet,BABB,2020
1210,B,5,U,BW,BW,Unalakleet,BB,2021
1215,B,E,NA,BW,BW,Unalakleet,BB,2020
1235,B,5U,NA,BW,BW,Unalakleet,BB,2020
1255,B,44U,NA,BABW,BABW,Unalakleet,BABB,2020
1275,B,567U,U,BXBW,BXBW,Unalakleet,BXBB,2020
1310,B,5U,NA,BW,BW,Unalakleet,BB,2021
1315,B,5445U,NA,BABW,BABW,Unalakleet,BABB,2020
1350,B,5U,NA,BW,BW,Unalakleet,BB,2021
1370,B,5U,NA,BW,BW,Unalakleet,BB,2021
1390,B,5U,NA,BW,BW,Unalakleet,BB,2021
1450,B,5U,U,BW,BW,Unalakleet,BB,2021
1455,B,5U,NA,BW,BW,Unalakleet,BB,2020
1470,B,5U,NA,BW,BW,Unalakleet,BB,2021
1495,B,5U,NA,BW,BW,Unalakleet,BB,2020
1510,B,5U,NA,BW,BW,Unalakleet,BB,2021
1515,B,5U,NA,BW,BW,Unalakleet,BB,2020
1535,B,5U,NA,BW,BW,Unalakleet,BB,2020
1575,B,E,NA,BW,BW,Unalakleet,BB,2020
1615,B,5U,NA,BW,BW,Unalakleet,BB,2020
1630,B,5U,NA,BW,BW,Unalakleet,BB,2021
1650,B,NA,U,BW,BW,Unalakleet,BB,2021
1695,B,4SS45U,NA,BABW,BAVABW,Unalakleet,BABB,2020
1730,B,5U,NA,BW,BW,Unalakleet,BB,2021
1735,B,55U,NA,BW,BW,Unalakleet,BB,2020
1755,B,5U,NA,BW,BW,Unalakleet,BB,2020
1770,B,5U,NA,BW,BW,Unalakleet,BB,2021
1775,B,5U,NA,BW,BW,Unalakleet,BB,2020
1795,B,5U,U,BW,BW,Unalakleet,BB,2020
1815,B,5E,NA,BW,BW,Unalakleet,BB,2020
1855,B,5U,U,BW,BW,Unalakleet,BB,2020
1870,B,U,NA,BW,BW,Unalakleet,BB,2021
1875,B,5U,NA,BW,BW,Unalakleet,BB,2020
1915,B,55E,NA,BW,BW,Unalakleet,BB,2020
1955,B,55E,NA,BW,BW,Unalakleet,BB,2020
1970,B,NA,U,BW,BW,Unalakleet,BB,2021
1975,B,55U,NA,BW,BW,Unalakleet,BB,2020
1995,B,5U,NA,BW,BW,Unalakleet,BB,2020
2010,B,NA,U,BW,BW,Unalakleet,BB,2021
2015,B,5U,U,BW,BW,Unalakleet,BB,2020
2030,B,5,U,BW,BW,Unalakleet,BB,2021
2090,B,5U,NA,BW,BW,Unalakleet,BB,2021
2115,B,5U,NA,BW,BW,Unalakleet,BB,2020
2130,B,5,U,BW,BW,Unalakleet,BB,2021
2135,B,55U,NA,BW,BW,Unalakleet,BB,2020
2150,B,5,U,BW,BW,Unalakleet,BB,2021
2155,B,5U,U,BW,BW,Unalakleet,BB,2020
2170,B,NA,U,BW,BW,Unalakleet,BB,2021
2175,B,5677G,NA,BXBW,BXBW,Unalakleet,BXBB,2020
2215,B,5E,NA,BW,BW,Unalakleet,BB,2020
2235,B,5U,NA,BW,BW,Unalakleet,BB,2020
2290,B,NA,U,BW,BW,Unalakleet,BB,2021
2315,B,5,U,BW,BW,Unalakleet,BB,2020
2330,B,U,NA,BW,BW,Unalakleet,BB,2021
2335,B,55555E,NA,BW,BW,Unalakleet,BB,2020
2350,B,NA,U,BW,BW,Unalakleet,BB,2021
2355,B,545U,U,BABW,BABW,Unalakleet,BABB,2020
2375,B,5U,NA,BW,BW,Unalakleet,BB,2020
2395,B,5U,NA,BW,BW,Unalakleet,BB,2020
2475,B,55,E,BW,BW,Unalakleet,BB,2020
2495,B,5U,NA,BW,BW,Unalakleet,BB,2020
2515,B,5U,NA,BW,BW,Unalakleet,BB,2020
2555,B,5U,NA,BW,BW,Unalakleet,BB,2020
2575,B,5U,NA,BW,BW,Unalakleet,BB,2020
2615,B,5U,NA,BW,BW,Unalakleet,BB,2020
2715,B,5U,NA,BW,BW,Unalakleet,BB,2020
2735,B,5U,NA,BW,BW,Unalakleet,BB,2020
2775,B,5U,NA,BW,BW,Unalakleet,BB,2020
2795,B,5U,NA,BW,BW,Unalakleet,BB,2020
2815,B,5U,U,BW,BW,Unalakleet,BB,2020
2855,B,5U,NA,BW,BW,Unalakleet,BB,2020
2915,B,554345U,NA,BABW,BAXABW,Unalakleet,BABB,2020
2935,B,5U,NA,BW,BW,Unalakleet,BB,2020
2955,B,55U,NA,BW,BW,Unalakleet,BB,2020
2975,B,55U,U,BW,BW,Unalakleet,BB,2020
2995,B,5E,NA,BW,BW,Unalakleet,BB,2020
3075,B,5U,NA,BW,BW,Unalakleet,BB,2020
3115,B,55E,NA,BW,BW,Unalakleet,BB,2020
3175,B,5U,NA,BW,BW,Unalakleet,BB,2020
3215,B,55U,NA,BW,BW,Unalakleet,BB,2020
3335,B,5U,NA,BW,BW,Unalakleet,BB,2020
3395,B,5U,NA,BW,BW,Unalakleet,BB,2020
3475,B,5U,NA,BW,BW,Unalakleet,BB,2020
3495,B,5U,NA,BW,BW,Unalakleet,BB,2020
3515,B,55U,NA,BW,BW,Unalakleet,BB,2020
3535,B,5U,NA,BW,BW,Unalakleet,BB,2020
3595,B,5U,NA,BW,BW,Unalakleet,BB,2020
3615,B,5U,NA,BW,BW,Unalakleet,BB,2020
3655,B,55U,NA,BW,BW,Unalakleet,BB,2020
3695,B,55U,NA,BW,BW,Unalakleet,BB,2020
3715,B,5E,NA,BW,BW,Unalakleet,BB,2020
3735,B,5E,NA,BW,BW,Unalakleet,BB,2020
3795,B,5U,NA,BW,BW,Unalakleet,BB,2020
3855,B,5U,NA,BW,BW,Unalakleet,BB,2020
3895,B,55U,NA,BW,BW,Unalakleet,BB,2020
3915,B,5U,U,BW,BW,Unalakleet,BB,2020
3935,B,5U,NA,BW,BW,Unalakleet,BB,2020
3975,B,55U,NA,BW,BW,Unalakleet,BB,2020
4015,A,445U,NA,ABW,ABW,Unalakleet,ABB,2020
4035,A,45U,NA,ABW,ABW,Unalakleet,ABB,2020
4135,A,EE5U,NA,ABW,ABWBW,Unalakleet,ABB,2020
4155,A,45U,NA,ABW,ABW,Unalakleet,ABB,2020
4250,A,45U,NA,ABW,ABW,Unalakleet,ABB,2021
4255,A,67U,U,ABW,ABXBW,Unalakleet,ABB,2020
4270,A,5U,NA,ABW,ABW,Unalakleet,ABB,2021
4275,A,5U,NA,ABW,ABW,Unalakleet,ABB,2020
4295,A,45U,NA,ABW,ABW,Unalakleet,ABB,2020
4315,A,4U,NA,ABW,ABW,Unalakleet,ABB,2020
4335,A,345U,NA,ABW,AXABW,Unalakleet,ABB,2020
4375,A,45U,NA,ABW,ABW,Unalakleet,ABB,2020
4415,A,4E,NA,ABW,ABW,Unalakleet,ABB,2020
4435,A,45U,NA,ABW,ABW,Unalakleet,ABB,2020
4470,A,45U,NA,ABW,ABW,Unalakleet,ABB,2021
4475,A,45U,NA,ABW,ABW,Unalakleet,ABB,2020
4495,A,4E,NA,ABW,ABW,Unalakleet,ABB,2020
4515,A,45U,NA,ABW,ABW,Unalakleet,ABB,2020
4535,A,455U,NA,ABW,ABW,Unalakleet,ABB,2020
4550,A,45U,NA,ABW,ABW,Unalakleet,ABB,2021
4555,A,SS45U,NA,ABW,AVABW,Unalakleet,ABB,2020
4575,A,455U,U,ABW,ABW,Unalakleet,ABB,2020
4595,A,4U,NA,ABW,ABW,Unalakleet,ABB,2020
4615,A,45U,NA,ABW,ABW,Unalakleet,ABB,2020
4655,A,4445U,NA,ABW,ABW,Unalakleet,ABB,2020
4675,A,44E,NA,ABW,ABW,Unalakleet,ABB,2020
4695,A,4,E,ABW,ABW,Unalakleet,ABB,2020
4710,A,4U,U,ABW,ABW,Unalakleet,ABB,2021
4735,A,4E,NA,ABW,ABW,Unalakleet,ABB,2020
4755,A,45U,NA,ABW,ABW,Unalakleet,ABB,2020
4775,A,4E,NA,ABW,ABW,Unalakleet,ABB,2020
