tag.ID,ch,stock,sex,stat.week,year
6375,AX00,Transitory,F,33,2020
6395,AA00,Shaktoolik,F,33,2020
6415,ABX0,Transitory,M,34,2020
6435,A000,NA,M,34,2020
6455,A000,NA,F,34,2020
6475,AA00,Shaktoolik,F,34,2020
6495,A000,NA,F,34,2020
6515,AB00,NA,M,34,2020
6535,AA00,Shaktoolik,M,34,2020
6555,AA00,Shaktoolik,M,34,2020
6575,ABB0,Unalakleet,F,34,2020
6595,AA00,Shaktoolik,F,34,2020
6615,AXAB,NA,M,34,2020
6635,ABX0,Transitory,M,34,2020
6655,AA00,Shaktoolik,M,34,2020
6675,AA00,Shaktoolik,F,34,2020
6695,AA00,Shaktoolik,F,34,2020
6715,AA00,Shaktoolik,F,34,2020
6735,A000,NA,M,34,2020
6755,ABB0,Unalakleet,F,34,2020
6775,AXA0,NA,M,34,2020
6815,ABB0,Unalakleet,M,34,2020
6835,ABAB,NA,F,34,2020
6855,A000,NA,F,34,2020
6875,AA00,Shaktoolik,M,34,2020
6895,AA00,Shaktoolik,M,34,2020
6915,A000,NA,F,34,2020
6935,AA00,Shaktoolik,F,34,2020
6955,ABB0,Unalakleet,M,34,2020
6975,AA00,Shaktoolik,M,34,2020
6995,ABB0,Unalakleet,M,34,2020
7015,ABB0,Unalakleet,M,34,2020
7035,AA00,Shaktoolik,M,34,2020
7055,ABX0,Transitory,M,34,2020
7075,AA00,Shaktoolik,F,34,2020
7115,AA00,Shaktoolik,M,34,2020
7135,ABB0,Unalakleet,M,34,2020
7155,AA00,Shaktoolik,M,34,2020
7175,AA00,Shaktoolik,M,34,2020
7195,AA00,Shaktoolik,F,34,2020
7215,ABB0,Unalakleet,M,35,2020
7235,ABB0,Unalakleet,M,35,2020
7255,AB00,NA,F,35,2020
7275,AB00,NA,F,35,2020
7295,AA00,Shaktoolik,M,35,2020
7315,AB00,NA,F,35,2020
7335,AB00,NA,F,35,2020
7355,AA00,Shaktoolik,F,35,2020
7375,AB00,NA,M,35,2020
7395,ABB0,Unalakleet,F,35,2020
7415,ABB0,Unalakleet,M,35,2020
7435,AB00,NA,F,35,2020
7475,ABB0,Unalakleet,F,35,2020
7495,ABA0,NA,F,35,2020
7515,AB00,NA,F,35,2020
7535,AB00,NA,F,35,2020
7555,AB00,NA,M,35,2020
7575,AB00,NA,F,35,2020
7595,A000,NA,M,35,2020
7615,AXAA,Shaktoolik,F,35,2020
7635,AB00,NA,F,35,2020
7655,ABA0,NA,F,35,2020
7675,AX00,Transitory,M,35,2020
7695,ABX0,Transitory,M,35,2020
7715,AB00,NA,M,35,2020
7735,A000,NA,F,35,2020
7755,A000,NA,F,35,2020
7775,A000,NA,F,35,2020
7815,AA00,Shaktoolik,F,35,2020
7835,ABB0,Unalakleet,M,35,2020
7875,AB00,NA,F,35,2020
7895,ABX0,Transitory,F,35,2020
7915,A000,NA,F,35,2020
7935,AA00,Shaktoolik,F,35,2020
7955,ABB0,Unalakleet,F,35,2020
7975,AA00,Shaktoolik,M,35,2020
7995,AB00,NA,F,35,2020
