"","tag.ID","ch","stat.week","year","species","stock","sex"
"203",5235,"ABB",33,2020,"coho","Unalakleet","F"
"204",5255,"ABB",33,2020,"coho","Unalakleet","M"
"205",5270,"ABB",35,2021,"coho","Unalakleet","F"
"206",5295,"ABB",33,2020,"coho","Unalakleet","F"
"207",5310,"ABB",35,2021,"coho","Unalakleet","M"
"208",5315,"ABB",33,2020,"coho","Unalakleet","M"
"209",5335,"ABB",33,2020,"coho","Unalakleet","M"
"210",5410,"ABB",35,2021,"coho","Unalakleet","M"
"211",5450,"ABB",35,2021,"coho","Unalakleet","M"
"212",5470,"ABB",35,2021,"coho","Unalakleet","M"
"213",5510,"ABB",35,2021,"coho","Unalakleet","F"
"214",5515,"ABB",33,2020,"coho","Unalakleet","F"
"215",5535,"ABB",33,2020,"coho","Unalakleet","M"
"216",5555,"ABB",33,2020,"coho","Unalakleet","M"
"217",5575,"ABB",33,2020,"coho","Unalakleet","M"
"218",5595,"ABB",33,2020,"coho","Unalakleet","F"
"219",5655,"ABB",33,2020,"coho","Unalakleet","F"
"220",5735,"ABB",33,2020,"coho","Unalakleet","M"
"221",5795,"ABB",33,2020,"coho","Unalakleet","F"
"222",5815,"ABB",33,2020,"coho","Unalakleet","M"
"223",5915,"ABB",33,2020,"coho","Unalakleet","F"
"224",5955,"ABB",33,2020,"coho","Unalakleet","M"
"225",6055,"ABB",33,2020,"coho","Unalakleet","M"
"226",6095,"ABB",33,2020,"coho","Unalakleet","F"
"227",6115,"ABB",33,2020,"coho","Unalakleet","F"
"228",6135,"ABB",33,2020,"coho","Unalakleet","F"
"229",6175,"ABB",33,2020,"coho","Unalakleet","M"
"230",6575,"ABB",34,2020,"coho","Unalakleet","F"
"231",6755,"ABB",34,2020,"coho","Unalakleet","F"
"232",6815,"ABB",34,2020,"coho","Unalakleet","M"
"233",6955,"ABB",34,2020,"coho","Unalakleet","M"
"234",6995,"ABB",34,2020,"coho","Unalakleet","M"
"235",7015,"ABB",34,2020,"coho","Unalakleet","M"
"236",7135,"ABB",34,2020,"coho","Unalakleet","M"
"237",7215,"ABB",35,2020,"coho","Unalakleet","M"
"238",7235,"ABB",35,2020,"coho","Unalakleet","M"
"239",7395,"ABB",35,2020,"coho","Unalakleet","F"
"240",7415,"ABB",35,2020,"coho","Unalakleet","M"
"241",7475,"ABB",35,2020,"coho","Unalakleet","F"
"242",7835,"ABB",35,2020,"coho","Unalakleet","M"
"243",7955,"ABB",35,2020,"coho","Unalakleet","F"
"244",930,"BAX",34,2021,"coho","Transitory","M"
"245",1010,"BX0",34,2021,"coho","Transitory","M"
"246",1375,"BAX",32,2020,"coho","Transitory","M"
"247",1430,"BAX",35,2021,"coho","Transitory","M"
"248",1435,"BX0",32,2020,"coho","Transitory","M"
"249",1655,"BAX",33,2020,"coho","Transitory","M"
"250",1835,"BX0",33,2020,"coho","Transitory","M"
"251",2055,"BX0",33,2020,"coho","Transitory","M"
"252",2195,"BAX",33,2020,"coho","Transitory","F"
"253",2455,"BX0",34,2020,"coho","Transitory","M"
"254",2535,"BX0",34,2020,"coho","Transitory","M"
"255",2835,"BX0",34,2020,"coho","Transitory","M"
"256",2895,"BX0",34,2020,"coho","Transitory","M"
"257",3375,"BX0",35,2020,"coho","Transitory","M"
"258",3995,"BX0",35,2020,"coho","Transitory","M"
"259",4175,"ABX",32,2020,"coho","Transitory","M"
"260",4235,"ABX",32,2020,"coho","Transitory","M"
"261",4350,"AX0",32,2021,"coho","Transitory","M"
"262",4355,"ABX",32,2020,"coho","Transitory","M"
"263",4630,"AX0",33,2021,"coho","Transitory","M"
"264",4690,"AX0",33,2021,"coho","Transitory","F"
"265",5055,"AX0",33,2020,"coho","Transitory","M"
"266",5095,"ABX",33,2020,"coho","Transitory","F"
"267",5150,"AX0",35,2021,"coho","Transitory","M"
"268",5355,"AX0",33,2020,"coho","Transitory","F"
"269",5415,"ABX",33,2020,"coho","Transitory","F"
"270",5475,"ABX",33,2020,"coho","Transitory","F"
"271",5495,"ABX",33,2020,"coho","Transitory","M"
"272",5675,"ABX",33,2020,"coho","Transitory","F"
"273",5715,"ABX",33,2020,"coho","Transitory","F"
"274",5835,"AX0",33,2020,"coho","Transitory","F"
"275",5875,"ABX",33,2020,"coho","Transitory","F"
"276",5995,"ABX",33,2020,"coho","Transitory","F"
"277",6335,"ABX",33,2020,"coho","Transitory","M"
"278",6375,"AX0",33,2020,"coho","Transitory","F"
"279",6415,"ABX",34,2020,"coho","Transitory","M"
"280",6635,"ABX",34,2020,"coho","Transitory","M"
"281",7055,"ABX",34,2020,"coho","Transitory","M"
"282",7675,"AX0",35,2020,"coho","Transitory","M"
"283",7695,"ABX",35,2020,"coho","Transitory","M"
"284",7895,"ABX",35,2020,"coho","Transitory","F"
"285",435,"BAA",32,2020,"coho","Shaktoolik","M"
"286",895,"BAA",32,2020,"coho","Shaktoolik","F"
"287",1175,"BAA",32,2020,"coho","Shaktoolik","M"
"288",1335,"BAA",32,2020,"coho","Shaktoolik","M"
"289",1675,"BAA",33,2020,"coho","Shaktoolik","M"
"290",2415,"BAA",34,2020,"coho","Shaktoolik","M"
"291",4055,"AA0",31,2020,"coho","Shaktoolik","M"
"292",4075,"AA0",31,2020,"coho","Shaktoolik","M"
"293",4190,"ABA",32,2021,"coho","Shaktoolik","F"
"294",4330,"ABA",32,2021,"coho","Shaktoolik","F"
"295",4510,"AA0",33,2021,"coho","Shaktoolik","M"
"296",4530,"AA0",33,2021,"coho","Shaktoolik","F"
"297",4590,"AA0",33,2021,"coho","Shaktoolik","M"
"298",4610,"AA0",33,2021,"coho","Shaktoolik","M"
