"tag.ID","ch","stock","year","sex","stat.week"
3975,"0000BW","Unalakleet",2020,"M",35
4015,"000ABW","Unalakleet",2020,"M",31
4035,"000ABW","Unalakleet",2020,"M",31
4135,"0ABWBW","Unalakleet",2020,"F",31
4155,"000ABW","Unalakleet",2020,"F",32
4250,"000ABW","Unalakleet",2021,"F",32
4255,"0ABXBW","Unalakleet",2020,"M",32
4270,"000ABW","Unalakleet",2021,"F",32
4275,"000ABW","Unalakleet",2020,"F",32
4295,"000ABW","Unalakleet",2020,"M",32
4315,"000ABW","Unalakleet",2020,"F",32
4335,"0AXABW","Unalakleet",2020,"F",32
4375,"000ABW","Unalakleet",2020,"M",32
4415,"000ABW","Unalakleet",2020,"M",32
4435,"000ABW","Unalakleet",2020,"M",32
4470,"000ABW","Unalakleet",2021,"M",33
4475,"000ABW","Unalakleet",2020,"M",32
4495,"000ABW","Unalakleet",2020,"M",32
4515,"000ABW","Unalakleet",2020,"M",32
4535,"000ABW","Unalakleet",2020,"F",33
4550,"000ABW","Unalakleet",2021,"M",33
4555,"0AVABW","Unalakleet",2020,"M",33
4575,"000ABW","Unalakleet",2020,"M",33
4595,"000ABW","Unalakleet",2020,"M",33
4615,"000ABW","Unalakleet",2020,"F",33
4655,"000ABW","Unalakleet",2020,"M",33
4675,"000ABW","Unalakleet",2020,"M",33
4695,"000ABW","Unalakleet",2020,"M",33
4710,"000ABW","Unalakleet",2021,"M",33
4735,"000ABW","Unalakleet",2020,"M",33
4755,"000ABW","Unalakleet",2020,"M",33
4775,"000ABW","Unalakleet",2020,"M",33
4795,"000ABW","Unalakleet",2020,"M",33
4815,"000ABW","Unalakleet",2020,"M",33
4835,"000ABW","Unalakleet",2020,"M",33
4850,"000ABW","Unalakleet",2021,"F",34
4855,"000ABW","Unalakleet",2020,"M",33
4875,"000ABW","Unalakleet",2020,"M",33
4895,"000ABW","Unalakleet",2020,"M",33
4935,"000ABW","Unalakleet",2020,"M",33
4955,"000ABW","Unalakleet",2020,"M",33
4995,"0ABWBW","Unalakleet",2020,"M",33
5030,"000ABW","Unalakleet",2021,"M",35
5035,"000ABW","Unalakleet",2020,"M",33
5070,"000ABW","Unalakleet",2021,"M",35
5075,"000ABW","Unalakleet",2020,"F",33
5175,"000ABW","Unalakleet",2020,"M",33
5190,"000ABW","Unalakleet",2021,"F",35
5195,"0ABXBW","Unalakleet",2020,"M",33
5215,"000ABW","Unalakleet",2020,"M",33
5235,"000ABW","Unalakleet",2020,"F",33
