tag.ID,ch,stock,sex,stat.week
3435,B000,NA,M,35
3455,B000,NA,M,35
3475,BW00,Unalakleet,M,35
3495,BW00,Unalakleet,M,35
3515,BW00,Unalakleet,M,35
3535,BW00,Unalakleet,F,35
3555,B000,NA,M,35
3575,BA00,NA,M,35
3595,BW00,Unalakleet,M,35
3615,BW00,Unalakleet,M,35
3655,BW00,Unalakleet,M,35
3675,B000,NA,F,35
3695,BW00,Unalakleet,F,35
3715,BW00,Unalakleet,M,35
3735,BW00,Unalakleet,F,35
3755,B000,NA,M,35
3775,BAB0,NA,F,35
3795,BW00,Unalakleet,F,35
3815,B000,NA,M,35
3835,B000,NA,M,35
3855,BW00,Unalakleet,M,35
3875,B000,NA,M,35
3895,BW00,Unalakleet,M,35
3915,BW00,Unalakleet,F,35
3935,BW00,Unalakleet,M,35
3955,B000,NA,F,35
3975,BW00,Unalakleet,M,35
3995,BX00,Transitory,M,35
4015,ABW0,Unalakleet,M,31
4035,ABW0,Unalakleet,M,31
4055,AV00,Shaktoolik,M,31
4075,AV00,Shaktoolik,M,31
4110,AB00,NA,M,32
4130,AB00,NA,M,32
4135,ABW0,Unalakleet,F,31
4150,AB00,NA,M,32
4155,ABW0,Unalakleet,F,32
4170,A000,NA,M,32
4175,ABX0,Transitory,M,32
4190,ABAV,Shaktoolik,F,32
4195,AB00,NA,F,32
4210,A000,NA,F,32
4215,AWAB,NA,M,32
4230,A000,NA,F,32
4235,ABX0,Transitory,M,32
4250,ABW0,Unalakleet,F,32
4255,ABW0,Unalakleet,M,32
4270,ABW0,Unalakleet,F,32
4275,ABW0,Unalakleet,F,32
4290,AB00,NA,F,32
4295,ABW0,Unalakleet,M,32
4310,A000,NA,M,32
4315,ABW0,Unalakleet,F,32
4330,ABAV,Shaktoolik,F,32
4335,ABW0,Unalakleet,F,32
4350,AWAX,Transitory,M,32
4355,ABX0,Transitory,M,32
4370,AB00,NA,M,32
4375,ABW0,Unalakleet,M,32
4390,A000,NA,M,32
4395,AB00,NA,M,32
4410,A000,NA,M,32
4415,ABW0,Unalakleet,M,32
4430,A000,NA,M,32
4435,ABW0,Unalakleet,M,32
4450,AB00,NA,M,32
4455,AB00,NA,F,32
4470,ABW0,Unalakleet,M,33
4475,ABW0,Unalakleet,M,32
4490,AB00,NA,M,33
4495,ABW0,Unalakleet,M,32
4510,AV00,Shaktoolik,M,33
4515,ABW0,Unalakleet,M,32
4530,AV00,Shaktoolik,F,33
4535,ABW0,Unalakleet,F,33
4550,ABW0,Unalakleet,M,33
4555,ABW0,Unalakleet,M,33
4570,AXAB,NA,M,33
4575,ABW0,Unalakleet,M,33
4590,AV00,Shaktoolik,M,33
4595,ABW0,Unalakleet,M,33
4610,AV00,Shaktoolik,M,33
4615,ABW0,Unalakleet,F,33
4630,AX00,Transitory,M,33
4635,ABAV,Shaktoolik,M,33
4650,AV00,Shaktoolik,M,33
4655,ABW0,Unalakleet,M,33
4670,AXAB,NA,F,33
4675,ABW0,Unalakleet,M,33
4690,AXAX,Transitory,F,33
4695,ABW0,Unalakleet,M,33
4710,ABW0,Unalakleet,M,33
4715,AB00,NA,F,33
4730,A000,NA,F,33
4735,ABW0,Unalakleet,M,33
4750,AXAV,Shaktoolik,M,33
4755,ABW0,Unalakleet,M,33
4770,AB00,NA,M,34
4775,ABW0,Unalakleet,M,33
4790,AB00,NA,M,34
4795,ABW0,Unalakleet,M,33
4810,AV00,Shaktoolik,M,34
4815,ABW0,Unalakleet,M,33
4830,AB00,NA,M,34
4835,ABW0,Unalakleet,M,33
4850,ABW0,Unalakleet,F,34
4855,ABW0,Unalakleet,M,33
4870,A000,NA,M,34
4875,ABW0,Unalakleet,M,33
4890,A000,NA,M,34
4895,ABW0,Unalakleet,M,33
4910,AB00,NA,F,35
4930,AV00,Shaktoolik,M,35
4935,ABW0,Unalakleet,M,33
