tag.ID,capture,det,recap,ch
4710,A,4U,U,ABB
4715,A,445,NA,AB
4730,A,NA,NA,A
4735,A,4E,NA,ABB
4750,A,33S,NA,AXAA
4755,A,45U,NA,ABB
4770,A,4,NA,AB
4775,A,4E,NA,ABB
4790,A,NA,B,AB
4795,A,45U,NA,ABB
4810,A,S,NA,AA
4815,A,45U,NA,ABB
4830,A,4,B,AB
4835,A,NA,U,ABB
4850,A,45U,NA,ABB
4855,A,456G,NA,ABB
4870,A,NA,A,A
4875,A,45U,NA,ABB
4890,A,NA,NA,A
4895,A,45U,NA,ABB
4910,A,455,NA,AB
4930,A,NA,S,AA
4935,A,45,U,ABB
4950,A,NA,NA,A
4955,A,45U,NA,ABB
4970,A,4,NA,AB
4990,A,4,NA,AB
4995,A,4EE5U,NA,ABB
5010,A,4,NA,AB
5015,A,4,NA,AB
5030,A,45U,NA,ABB
5035,A,45U,U,ABB
5050,A,NA,NA,A
5055,A,32I,NA,AXX
5070,A,4,U,ABB
5075,A,45U,NA,ABB
5090,A,NA,NA,A
5095,A,4567,NA,ABX
5110,A,477,NA,ABXB
5115,A,45,B,AB
5130,A,45,NA,AB
5135,A,45,NA,AB
5150,A,1,NA,AX
5155,A,NA,NA,A
5170,A,455,NA,AB
5175,A,45U,NA,ABB
5190,A,4,U,ABB
5195,A,457G,NA,ABB
5210,A,4677,NA,ABXB
5215,A,45U,U,ABB
5230,A,45,NA,AB
5235,A,45U,NA,ABB
5250,A,NA,NA,A
5255,A,45,U,ABB
5270,A,4U,NA,ABB
5275,A,SST,NA,AA
5290,A,4,NA,AB
5295,A,4E,NA,ABB
5310,A,45U,NA,ABB
5315,A,45,U,ABB
5330,A,4,NA,AB
5335,A,455,U,ABB
5350,A,44,NA,ABA
5355,A,43,NA,ABAX
5370,A,4,B,AB
5375,A,T,NA,AA
5390,A,4,NA,AB
5395,A,4,NA,AB
5410,A,45,U,ABB
5415,A,4567,NA,ABX
5430,A,4,NA,AB
5435,A,4554,NA,ABA
5450,A,4,U,ABB
5455,A,NA,NA,A
5470,A,45U,U,ABB
5475,A,4567,NA,ABX
5490,A,4,NA,AB
5495,A,44567,NA,ABX
5510,A,45,U,ABB
5515,A,45U,NA,ABB
5530,A,4,NA,AB
5535,A,4U,NA,ABB
5550,A,NA,NA,A
5555,A,45U,NA,ABB
5575,A,45U,NA,ABB
5595,A,45,U,ABB
5615,A,S,NA,AA
5635,A,NA,NA,A
5655,A,456G,NA,ABB
5675,A,567,NA,ABX
5695,A,44,NA,ABA
5715,A,456G7,NA,ABX
5735,A,45,U,ABB
5755,A,S,NA,AA
5775,A,4,NA,AB
5795,A,45U,NA,ABB
5815,A,45U,NA,ABB
5835,A,32N,NA,AXX
5855,A,45674,NA,ABXB
5875,A,4567,NA,ABX
5895,A,45,NA,AB
