"","c.hist1","c.hist"
"612","B44U","BA4B"
"613","BU","BB"
"614","B","B"
"615","BU","BB"
"616","B","B"
"617","B4S","BAA"
"618","BU","BB"
"619","BU","BB"
"620","B4S","BAA"
"621","BU","BB"
"622","B44A","BA4A"
"623","BU","BB"
"624","B32","B32"
"625","B","B"
"626","BS","BA"
"627","BUU","BBB"
"628","B4S","BAA"
"629","BU","BB"
"630","B4","BA"
"631","BU","BB"
"632","B4T","BAA"
"633","BU","BB"
"634","B","B"
"635","B4A","BAA"
"636","B432","BA32"
"637","B4U","BAB"
"638","B4S","BAA"
"639","B42","BA2"
"640","B4","BA"
"641","B4U","BAB"
"642","B44U","BA4B"
"643","B4U","BAB"
"644","BU","BB"
"645","BU","BB"
"646","BU","BB"
"647","BU","BB"
"648","BU","BB"
"649","BS","BA"
"650","BU","BB"
"651","BU","BB"
"652","BUU44","BBB44"
"653","B44U","BA4B"
"654","B4S","BAA"
"655","BU","BB"
"656","BU","BB"
"657","B44U","BA4B"
"658","BU","BB"
"659","BU","BB"
"660","BU","BB"
"661","B","B"
"662","B","B"
"663","BU","BB"
"664","BU","BB"
"665","BU","BB"
"666","BU","BB"
"667","BU","BB"
"668","B4S","BAA"
"669","B","B"
"670","B44","BA4"
"671","B44","BA4"
"672","B4S","BAA"
"673","B","B"
"674","BU","BB"
"675","B","B"
"676","B","B"
"677","BU","BB"
"678","BU","BB"
"679","BU","BB"
"680","BU","BB"
"681","B43Y","BA3Y"
"682","B","B"
"683","B","B"
"684","B","B"
"685","B","B"
"686","B","B"
"687","B","B"
"688","B","B"
"689","B","B"
"690","BU","BB"
"691","B","B"
"692","BU","BB"
"693","BU","BB"
"694","BS","BA"
"695","B","B"
"696","B","B"
"697","BU","BB"
"698","BU","BB"
"699","B","B"
"700","B","B"
"701","BU","BB"
"702","BUUG7","BBBB7"
"703","B77","BY7"
"704","B7","BY"
"705","B","B"
"706","BU","BB"
"707","B","B"
"708","B44","BA4"
"709","B12","B12"
"710","B","B"
"711","B","B"
"712","B","B"
"713","B","B"
"714","B","B"
"715","B7","BY"
"716","B","B"
"717","B74","BY4"
"718","B","B"
"719","B77","BY7"
"720","A7","A7"
"721","A32123S","AY2123A"
"722","AU","AB"
"723","A","A"
"724","A4U","ABB"
"725","A3","AY"
"726","AB","AB"
"727","AS","AA"
"728","A3223","AY223"
"729","AS","AA"
"730","A","A"
"731","A44S","AB4A"
"732","A37","AY7"
"733","A32Y","AY2Y"
"734","A4U","ABB"
"735","AYYYY1YYB","AYYYY1YYB"
"736","A","A"
"737","A4U","ABB"
"738","AS","AA"
"739","A4U","ABB"
"740","AS","AA"
"741","A4U","ABB"
"742","A","A"
"743","A4U","ABB"
"744","A4U","ABB"
"745","A4","AB"
"746","A","A"
"747","A3I","AYY"
"748","AS","AA"
"749","AU","AB"
"750","A32Y","AY2Y"
"751","A4U","ABB"
"752","A3","AY"
"753","A3T","AYA"
"754","A321B","AY21B"
"755","A4U","ABB"
"756","A4","AB"
"757","A","A"
"758","A444U","AB44B"
"759","A","A"
"760","A4U","ABB"
"761","A4U","ABB"
"762","A4U","ABB"
"763","A44S","AB4A"
"764","AS","AA"
"765","A4U","ABB"
"766","AS","AA"
"767","A4U","ABB"
"768","A47Y","AB7Y"
"769","AS","AA"
"770","AS","AA"
"771","AS","AA"
"772","AS","AA"
"773","AS","AA"
"774","A","A"
"775","AS","AA"
"776","ASSSSSTTTS","AAAAAAAAAA"
"777","AS","AA"
"778","A4","AB"
"779","A4","AB"
"780","A4U","ABB"
"781","A4UUUU","ABBBBB"
"782","AS","AA"
"783","A4U","ABB"
"784","AS","AA"
"785","AS","AA"
"786","A4U","ABB"
"787","A4U","ABB"
"788","A4U","ABB"
"789","A4U","ABB"
"790","A","A"
"791","A4","AB"
"792","AS","AA"
"793","A21321","A21321"
"794","A4","AB"
"795","A4U","ABB"
"796","AS","AA"
"797","A4","AB"
"798","AT","AA"
"799","A4G","ABB"
"800","A","A"
"801","AS","AA"
"802","A4UUUU7","ABBBBB7"
"803","AS","AA"
"804","A4777","AB777"
"805","AS","AA"
"806","AS","AA"
"807","A4U","ABB"
"808","A4U","ABB"
"809","ASSS","AAAA"
"810","A","A"
"811","A4U","ABB"
"812","A3Y","AYY"
"813","A3S","AYA"
"814","AS","AA"
"815","A44S","AB4A"
"816","A4U","ABB"
"817","AS","AA"
"818","A32Y","AY2Y"
"819","AS","AA"
"820","A4U","ABB"
"821","A4A","ABA"
"822","A4U","ABB"
"823","A4U","ABB"
"824","A","A"
"825","AS","AA"
"826","A","A"
"827","A32","AY2"
"828","AS","AA"
"829","A4U","ABB"
"830","A","A"
"831","A42","AB2"
"832","A2212332","A2212332"
"833","A4U","ABB"
"834","A","A"
"835","A2","A2"
"836","A","A"
"837","AS","AA"
"838","A4S","ABA"
"839","AS","AA"
"840","A4U","ABB"
"841","A","A"
"842","A4444S","AB444A"
"843","ASSST","AAAAA"
"844","AS","AA"
"845","A33S","AY3A"
"846","A4","AB"
"847","A4","AB"
"848","A4U","ABB"
"849","A4U","ABB"
"850","AS","AA"
"851","A4","AB"
"852","A32","AY2"
"853","A4S","ABA"
"854","A4U","ABB"
"855","AS","AA"
"856","A4U","ABB"
"857","A4U","ABB"
"858","ASS32","AAA32"
"859","A","A"
"860","A4S","ABA"
"861","AS","AA"
"862","A","A"
"863","A4A","ABA"
"864","A","A"
"865","A44UB","AB4BB"
"866","A","A"
"867","AS","AA"
"868","AS","AA"
"869","AS","AA"
"870","A34U","AY4B"
"871","AS","AA"
"872","A4","AB"
"873","A4U","ABB"
"874","A4U","ABB"
"875","A","A"
"876","A","A"
"877","A","A"
"878","A4","AB"
"879","A4","AB"
"880","A4U","ABB"
"881","A","A"
"882","A","A"
"883","BU","BB"
"884","BU","BB"
"885","BU","BB"
"886","A","A"
"887","BU","BB"
"888","B44","BA4"
"889","B","B"
"890","B","B"
"891","B7","BY"
"892","B","B"
"893","BU","BB"
"894","BU","BB"
"895","BU","BB"
"896","AS","AA"
"897","B","B"
