tag.ID,date.time,lat,long,sex,species,stock
1370,8/23/2021 17:23,63.953841,-160.857668,M,coho,6
1370,8/24/2021 12:16,63.557764,-161.056892,M,coho,6
1375,8/7/2020 15:29,64.0169,-160.91451,M,coho,4
1375,8/8/2020 1:48,64.131239,-160.964123,M,coho,4
1375,8/8/2020 16:35,64.371604,-161.541044,M,coho,4
1375,8/9/2020 1:31,64.535826,-161.37641,M,coho,4
1375,8/10/2020 10:11,64.538388,-161.37827,M,coho,4
1375,8/10/2020 17:42,64.371604,-161.541044,M,coho,4
1375,8/15/2020 9:27,64.376093,-161.533817,M,coho,4
1375,8/20/2020 11:41,64.927713,-160.982101,M,coho,4
1375,8/20/2020 11:41,64.927713,-160.982101,M,coho,4
1390,8/23/2021 13:18,64.03472,-160.92481,F,coho,6
1390,8/23/2021 21:35,63.953841,-160.857668,F,coho,6
1390,8/24/2021 12:08,63.557764,-161.056892,F,coho,6
1395,8/7/2020 15:30,64.0169,-160.91451,M,coho,NA
1395,8/8/2020 18:28,64.131287,-160.957982,M,coho,NA
1410,8/23/2021 13:20,64.03472,-160.92481,F,coho,NA
1410,8/24/2021 11:35,64.131239,-160.964123,F,coho,NA
1410,8/25/2021 16:29,64.131144,-160.970255,F,coho,NA
1410,8/25/2021 23:18,63.953475,-160.869926,F,coho,NA
1430,8/23/2021 13:26,64.03472,-160.92481,M,coho,N
1430,8/23/2021 17:41,63.953841,-160.857668,M,coho,N
1430,8/24/2021 13:30,63.953475,-160.869926,M,coho,N
1430,8/24/2021 21:38,64.131144,-160.970255,M,coho,N
1430,8/25/2021 19:42,64.367045,-161.548138,M,coho,N
1435,8/7/2020 16:08,64.0169,-160.91451,M,coho,S
1435,8/7/2020 19:48,63.95299,-160.888171,M,coho,S
1435,8/8/2020 15:08,63.692845,-160.893966,M,coho,S
1435,8/9/2020 11:23,63.547179,-161.123543,M,coho,S
1450,8/23/2021 13:37,64.03472,-160.92481,F,coho,6
1450,8/23/2021 23:55,63.953841,-160.857668,F,coho,6
1450,8/24/2021 21:03,63.557764,-161.056892,F,coho,6
1450,8/30/2021 12:00,63.555623,-161.051248,F,coho,6
1455,8/10/2020 11:51,64.01728,-160.91138,F,coho,6
1455,8/13/2020 0:11,63.953644,-160.863799,F,coho,6
1455,8/13/2020 13:11,63.557764,-161.056892,F,coho,6
1470,8/23/2021 13:53,64.03472,-160.92481,F,coho,6
1470,8/24/2021 16:33,63.953475,-160.869926,F,coho,6
1470,8/25/2021 11:02,63.557764,-161.056892,F,coho,6
1475,8/10/2020 11:53,64.01728,-160.91138,M,coho,NA
1475,8/12/2020 8:42,63.953142,-160.882113,M,coho,NA
1495,8/10/2020 12:10,64.01728,-160.91138,F,coho,6
1495,8/10/2020 21:32,63.95299,-160.888171,F,coho,6
1495,8/12/2020 22:47,63.555623,-161.051248,F,coho,6
1510,8/23/2021 14:07,64.03472,-160.92481,F,coho,6
1510,8/23/2021 23:58,63.953841,-160.857668,F,coho,6
1510,8/24/2021 12:55,63.557764,-161.056892,F,coho,6
1515,8/10/2020 13:08,64.01728,-160.91138,F,coho,6
1515,8/11/2020 1:21,63.953337,-160.876021,F,coho,6
1515,8/11/2020 11:06,63.555623,-161.051248,F,coho,6
1530,8/23/2021 14:08,64.03472,-160.92481,F,coho,NA
1530,8/23/2021 23:23,63.953841,-160.857668,F,coho,NA
1535,8/10/2020 13:22,64.02448,-160.91692,F,coho,6
1535,8/11/2020 7:01,63.953644,-160.863799,F,coho,6
1535,8/11/2020 15:06,63.555623,-161.051248,F,coho,6
1555,8/10/2020 13:41,64.02448,-160.91692,M,coho,NA
1555,8/12/2020 22:37,64.131287,-160.957982,M,coho,NA
1570,8/23/2021 14:30,64.03472,-160.92481,F,coho,NA
1570,8/24/2021 1:30,63.953841,-160.857668,F,coho,NA
1570,8/24/2021 20:58,63.692109,-160.888144,F,coho,NA
1570,8/25/2021 17:01,63.693551,-160.8998,F,coho,NA
1575,8/10/2020 13:43,64.02448,-160.91692,M,coho,6
1575,8/16/2020 18:21,64.042944,-160.888673,M,coho,6
1610,8/23/2021 15:18,64.03437,-160.92361,F,coho,NA
1610,8/24/2021 19:36,63.953475,-160.869926,F,coho,NA
1615,8/10/2020 14:07,64.02448,-160.91692,M,coho,6
1615,8/11/2020 11:59,63.95299,-160.888171,M,coho,6
1615,8/11/2020 19:56,63.557764,-161.056892,M,coho,6
1630,8/23/2021 15:18,64.03437,-160.92361,M,coho,6
1630,8/24/2021 1:43,63.953841,-160.857668,M,coho,6
1630,8/24/2021 22:49,63.557764,-161.056892,M,coho,6
1655,8/10/2020 14:10,64.02448,-160.91692,M,coho,N
1655,8/13/2020 9:57,64.131052,-160.976405,M,coho,N
1655,8/14/2020 3:45,64.376093,-161.533817,M,coho,N
1675,8/11/2020 13:28,64.01708,-160.91208,M,coho,5
1675,8/12/2020 5:12,64.131239,-160.964123,M,coho,5
