tag.ID,date.time,lat,long,sex
1675,8/11/2020 13:28,64.01708,-160.91208,M
1675,8/12/2020 5:12,64.131239,-160.964123,M
1675,8/15/2020 6:45,64.368624,-161.112718,M
1695,8/11/2020 14:28,64.0753,-160.9474,M
1695,8/12/2020 10:10,64.131287,-160.957982,M
1695,8/15/2020 9:13,64.368624,-161.112718,M
1695,8/18/2020 7:14,64.366297,-161.093039,M
1695,8/18/2020 21:48,64.131287,-160.957982,M
1695,8/19/2020 5:10,63.953142,-160.882113,M
1695,8/19/2020 13:24,63.555623,-161.051248,M
1710,8/23/2021 15:18,64.03437,-160.92361,F
1710,8/24/2021 7:26,63.953475,-160.869926,F
1715,8/12/2020 10:32,63.95433,-160.85193,F
1715,8/12/2020 15:21,63.953475,-160.869926,F
1730,8/23/2021 15:18,64.03437,-160.92361,M
1730,8/24/2021 1:15,63.953841,-160.857668,M
1730,8/24/2021 22:13,63.557764,-161.056892,M
1735,8/12/2020 10:32,63.95433,-160.85193,F
1735,8/12/2020 10:37,63.95299,-160.888171,F
1735,8/13/2020 17:38,63.953644,-160.863799,F
1735,8/14/2020 18:57,63.557764,-161.056892,F
1755,8/12/2020 10:53,63.95433,-160.85193,F
1755,8/12/2020 10:59,63.95299,-160.888171,F
1755,8/15/2020 6:46,63.557764,-161.056892,F
1770,8/23/2021 15:19,64.03437,-160.92361,M
1770,8/24/2021 1:34,63.953841,-160.857668,M
1770,8/24/2021 16:04,63.557764,-161.056892,M
1775,8/12/2020 10:53,63.95433,-160.85193,M
1775,8/12/2020 10:58,63.95299,-160.888171,M
1775,8/18/2020 10:19,63.555623,-161.051248,M
1790,8/23/2021 15:20,64.03437,-160.92361,F
1790,8/24/2021 14:53,64.131144,-160.970255,F
1795,8/12/2020 10:53,63.95433,-160.85193,M
1795,8/12/2020 10:56,63.95299,-160.888171,M
1795,8/13/2020 11:20,63.555623,-161.051248,M
1795,8/15/2020 12:00,63.555623,-161.051248,M
1815,8/12/2020 10:54,63.95433,-160.85193,F
1815,8/12/2020 11:55,63.953644,-160.863799,F
1815,8/16/2020 19:49,64.042944,-160.888673,F
1830,8/23/2021 15:34,64.03437,-160.92361,F
1830,8/24/2021 12:12,64.130854,-160.98861,F
1830,8/25/2021 17:26,64.131144,-160.970255,F
1830,8/26/2021 0:08,63.953475,-160.869926,F
1835,8/12/2020 10:57,63.95433,-160.85193,M
1835,8/12/2020 11:06,63.953142,-160.882113,M
1835,8/13/2020 7:08,63.690645,-160.876555,M
1835,8/14/2020 3:36,63.547179,-161.123543,M
1855,8/12/2020 10:59,63.95433,-160.85193,M
1855,8/12/2020 19:11,63.95299,-160.888171,M
1855,8/13/2020 2:13,63.557764,-161.056892,M
1855,8/26/2020 21:00,63.555623,-161.051248,M
1870,8/23/2021 16:03,64.03437,-160.92361,M
1870,8/24/2021 8:47,63.557764,-161.056892,M
1875,8/12/2020 11:13,63.95433,-160.85193,M
1875,8/12/2020 11:16,63.95299,-160.888171,M
1875,8/13/2020 21:47,63.555623,-161.051248,M
1895,8/12/2020 11:13,63.95433,-160.85193,F
1895,8/14/2020 15:37,63.95299,-160.888171,F
