423,5,B5,B,NA,B
432,5,B5,B,NA,B
435,5,B5,B,NA,B
436,NA,B,B,6b,B
437,NA,B,B,NA,B
438,NA,B,B,6b,B
441,NA,B,B,NA,B
443,NA,B,B,6b,B
444,NA,B,B,U,B
445,NA,B,B,6b,B
447,NA,B,B,U,B
448,5,B5B,BB,6b,B
453,NA,B,B,NA,B
454,5,B5B,BB,6b,B
455,NA,B,B,NA,B
457,55,B55B,BB,6b,B
459,5,B5,B,NA,B
462,NA,B,B,NA,B
470,NA,B,B,NA,B
472,5,B5,B,NA,B
473,NA,B,B,NA,B
474,566,B566,B,NA,B
475,NA,B,B,NA,B
476,5,B5,B,NA,B
478,NA,B,B,U,B
479,NA,B,B,NA,B
480,NA,B,B,NA,B
481,5,B5,B,NA,B
483,NA,B,B,NA,B
486,NA,B,B,NA,B
488,NA,B,B,NA,B
490,NA,B,B,NA,B
491,NA,B,B,NA,B
493,NA,B,B,NA,B
494,NA,B,B,U,B
496,NA,B,B,U,B
498,NA,B,B,NA,B
499,NA,B,B,NA,B
501,5,B5,B,NA,B
504,NA,B,B,U,B
505,5,B5,B,NA,B
506,NA,B,B,NA,B
507,NA,B,B,NA,B
508,5,B5,B,NA,B
509,5,B5,B,NA,B
510,NA,B,B,U,B
511,NA,B,B,NA,B
513,NA,B,B,U,B
514,NA,B,B,NA,B
516,NA,B,B,NA,B
517,NA,B,B,NA,B
518,NA,B,B,NA,B
519,NA,B,B,NA,B
520,NA,B,B,NA,B
601,5,B5B,BB,6b,B
607,NA,B,B,NA,B
614,5555,B5555,B,NA,B
616,55,B55,B,NA,B
625,NA,B,B,NA,B
634,NA,B,B,NA,B
661,55,B55,B,NA,B
662,55,B55,B,NA,B
669,NA,B,B,NA,B
673,555,B555,B,NA,B
675,NA,B,B,NA,B
676,5,B5,B,NA,B
682,55,B55,B,NA,B
683,NA,B,B,NA,B
684,NA,B,B,NA,B
685,NA,B,B,NA,B
686,NA,B,B,NA,B
687,NA,B,B,NA,B
688,NA,B,B,NA,B
689,NA,B,B,NA,B
691,NA,B,B,NA,B
695,55555555,B55555555,B,NA,B
696,5,B5,B,NA,B
699,5,B5,B,NA,B
700,65,B65,B,NA,B
705,5,B5,B,NA,B
707,NA,B,B,NA,B
710,NA,B,B,NA,B
711,NA,B,B,NA,B
712,NA,B,B,NA,B
713,NA,B,B,NA,B
714,6,B6,B,NA,B
716,NA,B,B,NA,B
718,6,B6,B,NA,B
889,NA,B,B,NA,B
890,NA,B,B,NA,B
892,5,B5,B,NA,B
897,NA,B,B,NA,B
170,32N,A32N,AY2N,NA,AYY
225,32N,A32N,AY2N,NA,AYY
253,32I,A32I,AY2I,NA,AYY
733,32Y,A32Y,AY2Y,NA,AYY
735,YYYY1YYB,AYYYY1YYB,AYYYY1YYB,NA,AYY
747,3I,A3I,AYI,NA,AYY
750,32Y,A32Y,AY2Y,NA,AYY
754,321B,A321B,AY21B,NA,AYY
812,3Y,A3Y,AYY,NA,AYY
818,32Y,A32Y,AY2Y,NA,AYY
550,332,A332,AY32,NA,AYAY
793,215321,A215321,A21321,NA,AYAY
832,2212332,A2212332,A2212332,NA,AYAY
144,3234567,A3234567,AY2347,NA,AYAB
382,3234567,A3234567,AY2347,NA,AYAB
544,3455,A3455,AY4,NA,AYAB
549,34,A34,AY4,NA,AYAB
154,34,A34,AY4,NA,AYAB
41,323S,A323S,AY23A,NA,AYAA
553,33S,A33S,AY3A,NA,AYAA
721,32123S,A32123S,AY2123A,NA,AYAA
753,3T,A3T,AYA,NA,AYAA
813,3S,A3S,AYA,NA,AYAA
845,33S,A33S,AY3A,NA,AYAA
118,33,A33,AY3,NA,AYA
728,3223,A3223,AY223,NA,AYA
44,3,A3,AY,NA,AY
547,1,A1,A1,NA,AY
573,1,A1,A1,NA,AY
725,3,A3,AY,NA,AY
732,37,A37,AY7,NA,AY
752,3,A3,AY,NA,AY
827,32,A32,AY2,NA,AY
835,2,A2,A2,NA,AY
852,32,A32,AY2,NA,AY
226,45674,A45674,AB74,NA,ABYB
2,47,A47,AB7,NA,ABY
45,4567,A4567,AB7,NA,ABY
90,4567,A4567,AB7,NA,ABY
155,67,A67,A7,NA,A0BY
168,455667,A455667,AB7,NA,ABY
207,4567,A4567,AB7,NA,ABY
208,44567,A44567,AB47,NA,ABY
217,567,A567,A7,NA,A0BY
219,456G7,A456G7,ABB7,NA,ABY
227,4567,A4567,AB7,NA,ABY
233,4567,A4567,AB7,NA,ABY
255,4567,A4567,AB7,NA,ABY
271,4567,A4567,AB7,NA,ABY
331,3467,A3467,AY47,NA,ABY
379,4567,A4567,AB7,NA,ABY
571,47,A47,AB7,NA,ABY
576,467,A467,AB7,NA,ABY
768,45675Y,A45675Y,AB7Y,NA,ABY
802,45UUUU67,A45UUUU67,ABBBBB7,NA,ABY
804,45677667,A45677667,AB777,NA,ABY
781,45UUUU5,A45UUUU5,ABBBBB,NA,ABBB
5,45U,A45U,ABB,NA,ABB
34,45U,A45U,ABB,NA,ABB
52,45U,A45U,ABB,NA,ABB
70,45U,A45U,ABB,NA,ABB
71,4E,A4E,ABB,NA,ABB
79,45U,A45UB,ABBB,U,ABB
80,4E,A4E,ABB,NA,ABB
85,45U,A45U,ABB,NA,ABB
87,45U,A45U,ABB,NA,ABB
88,455U,A455U,ABB,NA,ABB
94,45U,A45U,ABB,NA,ABB
117,45U,A45U,ABB,NA,ABB
119,4E,A4E,ABB,NA,ABB
120,45U,A45U,ABB,NA,ABB
152,45U,A45U,ABB,NA,ABB
209,45U,A45U,ABB,NA,ABB
210,4U,A4U,ABB,NA,ABB
211,45U,A45U,ABB,NA,ABB
212,45U,A45U,ABB,NA,ABB
216,456G,A456G,ABB,NA,ABB
223,45U,A45U,ABB,NA,ABB
224,45U,A45U,ABB,NA,ABB
229,445U,A445U,AB4B,NA,ABB
231,45U,A45U,ABB,NA,ABB
236,45U,A45U,ABB,NA,ABB
238,45U,A45U,ABB,NA,ABB
239,45U,A45U,ABB,NA,ABB
240,4E,A4E,ABB,NA,ABB
242,45,A45B,ABB,U,ABB
245,45U,A45U,ABB,NA,ABB
248,45U,A45U,ABB,NA,ABB
250,4EE5U,A4EE5U,ABBBB,NA,ABB
252,45U,A45UB,ABBB,U,ABB
254,45U,A45U,ABB,NA,ABB
259,45U,A45U,ABB,NA,ABB
260,457G,A457G,AB7B,NA,ABB
261,45U,A45UB,ABBB,U,ABB
262,45U,A45U,ABB,NA,ABB
265,4E,A4E,ABB,NA,ABB
285,455U,A455U,ABB,NA,ABB
