"id","receiver line","sex","arrive","depart"
75,"SBO","M",2011-08-29 13:58:05,2011-08-29 13:58:05
75,"SBI","M",2011-08-29 14:02:11,2011-08-29 14:02:11
75,"SBO","M",2011-08-29 14:02:38,2011-08-29 14:02:38
75,"SBI","M",2011-08-29 14:10:20,2011-08-29 14:22:31
75,"SBO","M",2011-08-29 14:22:32,2011-08-29 14:22:32
75,"SBI","M",2011-08-29 14:24:11,2011-08-29 14:24:38
75,"SBO","M",2011-08-29 14:24:38,2011-08-29 14:24:38
75,"SBI","M",2011-08-29 14:25:22,2011-08-29 14:25:47
75,"SBO","M",2011-08-29 14:25:47,2011-08-29 14:25:47
75,"SBI","M",2011-08-29 14:26:35,2011-08-29 14:34:02
75,"SBO","M",2011-08-29 14:34:28,2011-08-29 14:35:51
75,"SBI","M",2011-08-29 14:39:11,2011-08-29 14:39:11
75,"SBO","M",2011-08-29 14:39:38,2011-08-29 14:42:17
75,"SBI","M",2011-08-29 14:45:55,2011-08-29 14:46:21
75,"SBO","M",2011-08-29 14:46:21,2011-08-29 14:46:21
75,"SBI","M",2011-08-29 14:47:31,2011-08-29 14:47:31
75,"SBO","M",2011-08-29 14:47:58,2011-08-29 14:50:07
75,"SBI","M",2011-08-29 14:50:49,2011-08-29 14:50:49
75,"SBO","M",2011-08-29 14:51:16,2011-08-29 14:51:17
75,"SBI","M",2011-08-29 14:52:04,2011-08-29 14:52:04
75,"SBO","M",2011-08-29 14:52:31,2011-08-29 14:52:31
75,"SBI","M",2011-08-29 14:53:29,2011-08-29 14:53:29
75,"SBO","M",2011-08-29 14:53:55,2011-08-29 14:53:55
75,"SBI","M",2011-08-29 14:55:13,2011-08-29 14:55:13
75,"SBO","M",2011-08-29 14:55:39,2011-08-29 15:08:11
75,"SBI","M",2011-08-29 15:09:04,2011-08-29 15:09:04
75,"SBO","M",2011-08-29 15:09:29,2011-08-29 15:11:02
75,"SBI","M",2011-08-29 15:15:22,2011-08-29 15:19:58
75,"SBO","M",2011-08-29 15:20:24,2011-08-29 15:40:47
75,"SBI","M",2011-08-29 15:49:16,2011-08-29 15:49:16
75,"SBO","M",2011-08-29 15:49:41,2011-08-29 16:17:58
75,"SBI","M",2011-08-29 16:27:38,2011-08-29 16:46:19
75,"SBO","M",2011-08-29 16:55:40,2011-08-29 16:55:42
75,"SBI","M",2011-08-29 17:10:05,2011-08-29 17:10:05
75,"SBO","M",2011-08-29 17:12:32,2011-08-29 17:12:32
75,"SBI","M",2011-08-29 17:24:07,2011-08-29 17:45:28
75,"SBO","M",2011-08-29 17:47:57,2011-08-29 17:53:48
75,"SBI","M",2011-08-29 17:56:03,2011-08-29 17:56:03
75,"SBO","M",2011-08-29 18:00:15,2011-08-29 18:00:17
75,"SBI","M",2011-08-29 18:06:51,2011-08-29 18:06:51
75,"SBO","M",2011-08-29 18:07:16,2011-08-29 18:07:16
75,"SBI","M",2011-08-29 18:07:17,2011-08-29 18:07:17
75,"SBO","M",2011-08-29 18:08:55,2011-08-29 18:12:30
75,"SBI","M",2011-08-29 18:13:39,2011-08-29 18:21:39
75,"SBO","M",2011-08-29 18:22:06,2011-08-29 18:22:06
75,"SBI","M",2011-08-29 18:25:16,2011-08-29 18:25:16
75,"SBO","M",2011-08-29 18:28:42,2011-08-29 18:44:17
75,"SBI","M",2011-08-29 18:45:50,2011-08-29 18:45:50
75,"SBO","M",2011-08-29 18:46:16,2011-08-29 18:46:16
75,"SBI","M",2011-08-29 18:48:45,2011-08-29 18:48:45
75,"SBO","M",2011-08-29 18:49:10,2011-08-29 18:49:10
75,"SBI","M",2011-08-29 18:51:28,2011-08-29 18:55:24
75,"SBO","M",2011-08-29 18:55:51,2011-08-29 18:55:51
75,"SBI","M",2011-08-29 18:57:30,2011-08-29 18:57:30
75,"SBO","M",2011-08-29 18:57:57,2011-08-29 19:00:14
75,"SBI","M",2011-08-29 19:02:59,2011-08-29 19:02:59
75,"SBO","M",2011-08-29 19:02:59,2011-08-29 19:12:14
75,"SBI","M",2011-08-29 19:22:08,2011-08-29 20:13:50
75,"SBO","M",2011-08-29 20:14:16,2011-08-29 20:14:16
75,"SBI","M",2011-08-29 20:15:33,2011-08-29 21:29:42
75,"SBO","M",2011-08-29 21:30:07,2011-08-29 21:30:07
75,"SBI","M",2011-08-29 21:31:06,2011-08-29 21:31:06
75,"SBO","M",2011-08-29 21:31:34,2011-08-29 21:33:18
75,"SBI","M",2011-08-29 21:35:13,2011-08-30 01:14:03
75,"SBO","M",2011-08-30 15:08:06,2011-08-30 15:34:07
75,"SBI","M",2011-08-30 15:50:56,2011-08-30 15:59:33
75,"SBO","M",2011-08-30 16:10:30,2011-08-30 16:10:30
75,"SBI","M",2011-08-30 16:13:00,2011-08-30 16:15:51
75,"SBO","M",2011-08-30 16:21:02,2011-08-30 16:21:02
75,"SBI","M",2011-08-30 16:35:31,2011-08-30 16:35:31
75,"SBO","M",2011-08-30 16:47:54,2011-08-30 16:47:54
75,"SBI","M",2011-08-30 17:04:22,2011-08-30 17:04:22
75,"SBO","M",2011-08-30 17:29:13,2011-08-30 17:31:02
75,"SBI","M",2011-08-30 18:08:42,2011-08-30 18:08:42
75,"SBO","M",2011-08-30 18:36:22,2011-08-30 18:36:22
75,"SBI","M",2011-08-30 18:50:12,2011-08-30 19:01:23
75,"SBO","M",2011-08-30 19:08:13,2011-08-30 19:16:25
75,"SBI","M",2011-08-30 19:28:05,2011-08-30 19:28:05
75,"SBO","M",2011-08-30 19:28:31,2011-08-30 19:42:37
75,"SBI","M",2011-08-30 20:07:37,2011-08-31 06:41:03
75,"SBO","M",2011-08-31 12:12:42,2011-08-31 14:44:05
75,"SBI","M",2011-08-31 15:19:11,2011-08-31 15:19:11
75,"SBO","M",2011-08-31 15:19:37,2011-08-31 15:19:37
75,"SBI","M",2011-08-31 15:23:54,2011-08-31 15:23:54
75,"SBO","M",2011-08-31 15:24:20,2011-08-31 15:24:20
