ID	FirstFound	LastPresent	LastChecked	Fate	Freq	Year	HenAge	Date	Dlek	Sage	NonSage	RoadD500	All1000	NMG_Ht	AvgGrsHt100
160.871-1-2007	15	28	32	1	1	2007	Adult	-0.439646669	0.355886683	0.1526627	2.492576226	-0.853394109	-1.492803132	0.666639272	-0.107556882
159.466-1-2007	31	38	38	0	1	2007	Juvenile	0.473832533	0.863732158	1.802666951	-0.201220617	-0.853394109	0.187934981	-0.252217318	-0.042384049
159.567-1-2007	11	36	36	0	1	2007	Juvenile	0.390788969	-0.968822821	1.590884796	0.33311665	1.024773006	0.08227353	0.232250908	-0.336039441
159.227-1-2007	8	8	13	1	1	2007	Juvenile	-0.937908052	-0.767307177	0.965021114	-0.62869043	-0.853394109	0.653609762	-0.470079561	-0.465790129
160.128-1-2007	10	19	23	1	1	2007	Juvenile	0.307745405	-0.953495254	0.408697842	-0.068557571	0.729137485	0.473596427	-0.250856452	-0.664372127
160.428-1-2007	12	13	15	1	1	2007	Juvenile	-0.605733797	-0.799535998	0.737434321	-0.62869043	0.746529815	0.76709527	0.175094544	-0.369423511
160.790-1-2007	17	23	26	1	1	2007	Juvenile	-1.10399518	-0.999354561	1.170481414	-0.543933484	0.90302669	0.553818021	-0.076393456	-0.597199416
159.079-1-2008	13	37	37	0	1	2008	Adult	0.424006395	1.202459069	-0.507971187	0.439984104	-0.853394109	0.657518456	0.141753332	0.13839607
159.379-1-2008	13	37	37	0	1	2008	Adult	0.050310357	2.183309453	-0.602799017	0.734790872	0.88563436	0.45403295	0.470402424	-0.462340243
159.499-1-2008	8	44	44	0	1	2008	Adult	-1.087386467	-0.96935671	1.198929763	-0.62869043	-0.60993558	0.76709527	-0.324071032	-0.529769829
159.515-1-2008	14	37	37	0	1	2008	Adult	0.382484613	1.078453719	-0.286706249	0.863768833	-0.853394109	-2.195234002	-0.929928488	-0.125192312
160.190-1-2008	18	40	40	0	1	2008	Adult	-0.4147336	-0.091806031	-2.025216475	-0.426010777	-0.853394109	-0.907773133	4.642816976	0.306357039
160.808-1-2008	15	40	40	0	1	2008	Adult	-0.788429638	-0.153490392	-0.666017571	-0.481287046	3.407249512	0.733831357	-0.382180002	-0.934347346
159.558-1-2008	15	26	32	1	1	2008	Adult	-0.215429047	-0.727749394	0.092605074	-0.62869043	0.83349147	0.76709527	-1.26334061	-1.541213622
159.056-1-2008	8	11	15	1	1	2008	Adult	1.570007576	1.159223926	0.155823627	-0.62869043	-0.853394109	-1.087786468	-0.024952729	-0.443074647
159.067-1-2008	18	26	29	1	1	2008	Adult	-0.555907659	-0.66262417	-1.219179916	1.250702716	-0.853394109	0.452078604	-0.834667882	-0.732058588
159.097-1-2008	9	31	34	1	1	2008	Adult	-0.090863701	-0.607675296	2.905830713	-0.426010777	1.703005704	0.753394833	0.132227272	-0.597199416
159.347-1-2008	13	18	22	1	1	2008	Adult	-0.746907856	-0.79693655	3.790890465	-0.62869043	0.816099139	-0.001863427	-0.310734547	0.105416872
159.347-2-2008	5	24	30	1	1	2008	Adult	1.453746586	-0.909176208	0.408697842	-0.62869043	2.34645374	0.123361501	0.141753332	1.542157455
159.445-1-2008	12	28	32	1	1	2008	Adult	-0.14068984	2.313666846	-0.302510887	1.103299332	-0.853394109	0.41881469	-0.172606668	-0.485458958
159.495-1-2008	9	14	18	1	1	2008	Adult	-0.447951026	-0.929773842	-0.824063955	-0.62869043	0.90302669	0.729915993	-0.567938184	-0.693099271
159.537-1-2008	13	15	19	1	1	2008	Adult	-0.580820728	1.503501058	1.989161684	-0.62869043	-0.853394109	-1.520197336	-1.26334061	-0.435368409
159.661-1-2008	8	25	28	1	1	2008	Adult	-0.339994393	0.161982078	-0.887282509	-0.62869043	-0.853394109	0.786658747	-0.010663638	-0.600570895
159.680-1-2008	12	14	16	1	1	2008	Adult	0.357571544	1.946422233	-0.492166548	-0.352309085	0.763922146	-0.784509222	-0.119022577	-0.284775666
159.680-2-2008	10	30	32	1	1	2008	Adult	2.010138464	1.892212826	2.147208069	-0.389159931	0.433501963	-0.806033715	-1.26334061	0.635798732
159.728-1-2008	13	36	39	1	1	2008	Adult	0.27452798	2.210379557	1.499217893	-0.297032816	0.763922146	0.44816324	0.261424469	2.504561549
160.044-1-2008	19	23	31	1	1	2008	Adult	-1.319908446	-0.899750065	0.977664825	0.587387488	0.711745154	0.375765703	-0.215473941	-0.934347346
160.128-1-2008	12	20	23	1	1	2008	Adult	-0.032733207	-1.005425419	-0.485844693	0.955895948	0.763922146	0.614476139	-0.787037579	-0.780222578
