Site,Trap No,Time,Mo,Day,Year,Julian,Sex,Age,Total,Bag,Mass,Frequency,Band ID,Wing,Tail,Tars,Culmen,Molt,Color,Recap,Feather,Blood,Par
FM,FM14-24,1630,9,25,2014,268,F,A,540,40,500,149.254,303,18,12.6,5.29,2.39,"9,10",Gray,N,Y,N,N
FM,FM14-25,1630,9,25,2014,268,M,J,575,40,535,149.123,304,18.5,12.4,5.39,2.6,8,Gray,N,Y,N,N
FM,FM14-5,1555,9,24,2014,267,F,J,490,40,450,149.912,305,17.7,13.4,4.81,2.01,NA,Red,N,Y,N,N
FM,FM14-17,1700,9,23,2014,266,M,A,620,40,580,149.062,306,19.3,14.5,5.32,2.5,10,Intermediate,N,Y,N,N
FM,FM14-17,1700,9,23,2014,266,F,A,515,40,475,149.173,307,18.3,13.5,5.27,2.2,NA,Brown,N,Y,N,N
FM,FM14-35,1901,9,21,2014,264,F,A,475,40,435,149.245,308,17.9,NA,4.95,2.26,"9,10",,N,Y,N,N
FM,FM14-2,1844,9,20,2014,263,F,A,515,40,475,149.262,309,18.3,10.6,5.18,2.19,9,Intermediate,N,Y,N,N
FM,FM14-51,1900,9,19,2014,262,F,A,595,40,555,149.222,310,18.5,,5.72,2.12,,Gray,N,,,
FM,FM14-6,1900,9,19,2014,262,M,J,465,40,425,149.273,311,16.5,,5.26,2.17,7,Intermediate,N,Y,,
FM,FM14-19,1813,9,19,2014,262,M,A,580,40,540,149.023,312,18.4,11.8,5.46,2.12,8,Gray,N,Y,N,N
FM,FM14-20,1630,9,24,2014,267,M,A,,,,149.023,312,,,,,,,Y,N,N,N
FM,FM14-12,1738,9,19,2014,262,M,A,640,40,600,149.052,313,17.8,12.2,5.42,2.3,8,Intermediate,N,Y,N,N
FM,FM14-12,17.38,9,19,2014,262,M,A,620,40,580,149.284,314,18.7,12.7,5.72,2.49,8,Intermediate,N,Y,N,N
FM,FM14-20,1809,9,18,2014,261,F,A,540,40,500,149.113,315,19,11.3,5.2,2.02,8,Gray,N,Y,N,N
FM,FM14-27,1912,9,17,2014,260,M,A,625,40,585,149.153,316,20.4,15.8,5.25,2.34,"9,10",,N,Y,N,N
FM,FM14-6,1740,9,17,2014,260,M,A,590,40,550,149.202,317,18.7,13.7,5.51,2.16,"9,10",,N,Y,N,N
FM,FM14-41,1845,9,19,2014,262,M,A,575,40,535,149.202,317,,,,,,,Y,,,
FM,FM14-17,1650,9,24,2014,267,M,A,,,,149.202,317,,,,,,,Y,N,N,N
FM,FM14-20,1900,9,15,2014,258,M,A,620,40,580,NA,318,19.4,10.6,5.17,2.05,8,Intermediate,N,Y,N,N
FM,FM14-20,1640,9,13,2014,256,M,A,675,40,635,NA,319,19.2,15,6.24,2.54,"9,10",Brown,N,Y,N,N
FM,FM14-13,1813,9,12,2014,255,F,J,555,40,515,149.313,320,,,,,,Gray,N,,,
FM,FM14-48,1850,9,11,2014,254,M,A,535,40,495,149.254,321,18,7.1,5.14,2.33,8,,N,Y,N,N
FM,FM14-48,1850,9,11,2014,254,F,A,460,40,420,149.062,322,18.4,NA,4.91,2.21,8,,N,Y,N,N
FM,FM14-48,1850,9,11,2014,254,M,J,490,40,450,149.173,323,18.6,7.2,5.02,2.44,8,,N,Y,N,N
FM,FM14-39,1815,9,11,2014,254,F,J,465,40,425,149.072,324,17.5,6.5,4.9,2.16,8,,N,Y,N,N
FM,FM14-8,1900,9,10,2014,253,M,A,560,40,520,149.213,325,18,NA,5.1,2.03,8,,N,Y,N,N
FM,FM14-8,1900,9,10,2014,253,F,J,452,40,412,149.143,326,18.4,7.2,4.92,2.12,8,,N,Y,N,N
FM,FM14-10,1900,9,10,2014,253,M,A,560,40,520,149.693,327,18.2,7.4,5.18,2.32,8,,N,Y,N,N
